atr0,atr1,atr2,atr3,atr4,atr5,atr6,atr7,atr8,outlier
79,0,83,0,-46,-27,4,130,126,1
59,0,86,-6,56,-8,28,30,2,0
51,1,81,-3,52,13,30,30,0,0
55,0,86,0,54,0,30,32,2,0
43,0,88,0,42,0,45,47,2,0
44,0,76,-4,42,-30,31,34,2,0
50,-3,111,3,50,0,61,62,0,0
41,-1,81,0,42,4,41,40,0,0
51,0,86,-1,52,3,35,35,0,0
37,0,80,0,36,28,43,44,0,0
41,4,77,0,38,-19,36,39,2,0
37,0,79,0,12,-21,43,66,24,0
43,0,80,-1,44,12,37,36,0,0
47,5,85,3,46,0,38,39,0,0
54,0,79,0,54,0,25,25,0,0
48,-5,77,0,46,0,28,30,2,0
49,-2,81,0,50,10,33,32,0,0
37,0,76,8,26,18,39,50,12,0
44,5,77,0,42,-12,33,35,2,0
41,0,80,8,42,0,39,39,0,0
46,-4,76,-1,46,0,30,30,0,0
50,3,88,0,50,0,39,39,0,0
46,1,89,0,46,4,43,42,0,0
37,0,106,-4,24,0,69,82,14,0
43,0,77,0,42,-18,34,35,2,0
37,0,76,-7,28,0,39,47,8,0
37,0,83,0,30,6,47,52,6,0
37,0,96,0,30,-12,59,65,6,0
37,0,104,0,26,11,66,78,12,0
46,1,76,0,46,14,30,30,0,0
38,2,76,0,38,4,38,37,0,0
37,0,78,-1,16,9,41,63,22,0
45,-1,83,0,44,-3,37,39,2,0
39,-2,79,4,38,0,40,41,0,0
37,0,106,0,26,-2,69,80,12,0
45,0,86,0,46,4,40,39,0,0
53,0,77,0,52,-10,25,26,2,0
60,0,108,-6,60,0,49,49,0,0
37,0,79,0,8,-5,43,72,28,0
43,0,76,8,42,0,33,34,2,0
45,0,81,4,44,0,36,37,0,0
43,0,79,0,44,29,35,35,0,0
37,0,90,0,26,3,52,64,12,0
37,0,77,0,20,0,41,57,16,0
43,0,89,1,42,0,46,48,2,0
51,0,86,0,52,19,35,35,0,0
50,5,86,0,50,0,37,37,0,0
49,0,95,0,50,14,46,46,0,0
49,0,84,0,50,6,36,35,0,0
37,1,76,0,36,0,39,40,0,0
44,0,87,-1,44,1,43,43,0,0
44,3,79,0,42,-6,35,37,2,0
48,0,81,-7,46,0,33,34,2,0
37,0,83,0,38,10,45,44,0,0
41,1,80,4,38,0,39,41,2,0
48,0,82,0,46,-10,34,35,2,0
51,5,82,0,52,18,31,30,0,0
37,0,90,0,6,0,53,85,32,0
52,-1,81,-1,52,0,29,29,0,0
45,0,90,0,44,-22,44,46,2,0
37,-1,80,-3,36,-5,43,44,0,0
53,-1,82,8,54,0,29,28,0,0
43,0,75,0,42,-11,32,34,2,0
37,0,76,0,28,12,40,48,8,0
38,1,77,0,38,3,39,38,0,0
47,-1,106,0,46,0,59,60,0,0
56,0,96,-2,54,0,40,42,2,0
39,2,83,0,38,0,43,44,0,0
44,0,79,0,44,1,35,35,0,0
45,-5,87,0,44,0,43,43,0,0
44,0,86,-3,44,1,42,42,0,0
40,-4,80,0,38,0,40,41,2,0
43,0,83,0,44,22,40,39,0,0
46,1,87,1,46,2,41,41,0,0
43,1,96,0,42,6,53,55,2,0
43,0,81,0,42,-26,37,39,2,0
51,2,80,0,50,-16,29,31,2,0
37,0,74,0,28,-1,37,46,8,0
104,0,106,0,72,12,1,33,32,1
46,3,79,0,46,0,33,33,0,0
37,0,81,0,38,23,43,42,0,0
51,0,88,-1,50,-5,37,39,2,0
37,0,76,-2,30,-19,39,45,6,0
45,0,81,6,44,0,35,37,2,0
48,0,85,6,46,0,37,39,2,0
37,0,104,0,28,27,66,75,8,0
41,0,79,2,38,-4,39,41,2,0
37,0,78,0,10,-10,41,68,26,0
37,0,81,-4,10,0,44,70,26,0
41,1,77,0,42,31,36,35,0,0
49,0,80,0,46,-30,31,34,2,0
53,-1,82,6,54,0,29,28,0,0
37,0,98,-2,30,6,61,67,6,0
44,2,76,0,42,-18,32,34,2,0
37,0,76,-4,18,-1,39,57,18,0
76,1,81,0,-42,0,4,125,120,1
38,0,81,0,38,4,43,43,0,0
52,-4,81,0,52,0,30,30,0,0
38,2,77,0,38,3,39,38,0,0
56,2,86,0,56,2,30,30,0,0
37,0,76,0,28,6,40,48,8,0
50,0,77,-5,50,0,27,28,0,0
63,0,111,4,62,0,48,49,2,0
37,0,76,-1,26,-17,39,50,10,0
46,0,86,5,46,2,41,40,0,0
37,0,77,0,16,-8,41,62,22,0
47,0,75,-2,46,0,28,28,0,0
71,2,76,6,-42,-9,4,119,116,1
37,0,81,0,26,-29,44,55,10,0
51,0,86,0,52,7,35,34,0,0
55,0,81,-3,54,0,26,26,0,0
37,0,77,0,18,-8,41,59,18,0
37,0,77,-7,34,0,40,43,4,0
44,0,80,-3,42,-30,36,39,2,0
51,-5,81,0,52,0,29,29,0,0
41,0,77,0,38,-22,36,38,2,0
37,0,76,0,34,-23,39,43,4,0
44,0,77,0,42,-19,33,35,2,0
54,1,86,0,54,0,33,32,0,0
46,0,86,0,46,3,41,40,0,0
45,-3,83,0,44,0,38,39,0,0
44,-5,81,0,44,0,37,37,0,0
37,0,96,-2,12,0,59,83,24,0
38,5,94,0,36,0,56,58,2,0
37,0,74,0,28,31,38,46,8,0
52,0,84,0,52,-6,32,33,0,0
44,0,86,0,44,12,43,42,0,0
43,0,81,0,42,-10,38,40,2,0
53,0,81,0,54,7,27,26,0,0
40,4,107,0,38,0,67,68,2,0
41,0,86,1,42,15,45,45,0,0
46,0,91,9,46,0,45,44,0,0
45,0,86,0,46,1,40,39,0,0
37,0,79,-1,12,-2,42,66,24,0
51,-1,88,0,50,-9,37,39,2,0
41,-1,75,0,42,12,34,34,0,0
45,-3,78,0,44,-16,33,34,2,0
37,0,77,0,6,-5,40,72,32,0
44,0,88,7,44,7,44,44,0,0
37,0,106,0,26,-28,69,80,12,0
45,0,86,-2,44,-16,40,42,2,0
51,-1,80,0,52,1,29,28,0,0
50,0,77,-6,50,0,27,28,0,0
37,0,79,0,12,1,43,66,24,0
51,-5,86,0,52,19,36,35,0,0
56,1,81,0,56,0,25,24,0,0
43,-1,77,0,42,-21,34,35,2,0
76,0,81,0,-40,29,5,123,118,1
37,0,79,0,24,-19,42,55,14,0
37,0,77,-7,36,5,40,41,0,0
41,0,76,0,38,-27,35,37,2,0
41,0,79,-3,42,1,38,37,0,0
37,0,80,4,36,-10,43,44,2,0
47,-2,76,-8,46,-12,30,30,0,0
39,2,97,0,38,0,58,58,0,0
41,0,77,0,42,6,36,36,0,0
49,0,77,5,50,0,28,28,0,0
44,-1,86,-2,44,-4,42,42,0,0
37,0,79,-1,10,-6,43,69,26,0
40,0,77,1,38,0,38,39,2,0
37,0,76,0,36,31,38,39,2,0
43,1,77,1,42,0,34,36,2,0
37,0,79,0,28,8,42,51,8,0
45,3,87,7,44,0,42,43,2,0
40,-5,81,0,38,0,41,42,2,0
37,0,76,0,34,-14,39,43,4,0
37,0,74,0,28,16,38,46,8,0
41,0,86,3,42,7,45,45,0,0
52,5,91,0,52,0,38,39,0,0
41,0,81,0,38,-30,39,42,2,0
37,0,80,0,30,1,43,49,6,0
46,0,93,3,46,0,48,47,0,0
103,4,104,-1,70,-1,1,35,34,1
53,3,81,0,52,-1,28,30,2,0
53,0,77,0,54,1,24,23,0,0
56,0,85,0,54,-8,29,31,2,0
37,-5,78,0,-2,0,41,81,40,0
39,3,82,0,38,0,43,43,0,0
39,0,79,-2,38,-3,40,40,0,0
46,1,76,0,46,3,30,29,0,0
51,0,88,0,52,29,37,36,0,0
37,0,104,0,34,18,67,71,4,0
47,0,95,4,46,0,48,49,0,0
49,0,79,0,46,-6,31,33,2,0
37,0,79,0,20,-24,42,58,16,0
37,0,83,0,-2,0,47,86,40,0
37,0,77,0,-22,6,40,101,60,0
37,0,79,0,30,-30,43,48,6,0
37,0,80,0,34,31,43,46,4,0
58,0,96,-6,56,0,38,39,2,0
37,0,81,0,28,9,44,52,8,0
41,-2,86,0,38,-22,45,47,2,0
41,0,87,0,38,-20,46,48,2,0
53,0,84,0,54,20,31,30,0,0
45,-5,86,0,46,6,40,39,0,0
40,0,87,-2,38,-3,47,48,2,0
49,3,94,0,46,-9,45,48,2,0
37,1,77,0,36,15,39,41,2,0
103,-14,107,0,70,0,4,37,34,1
53,2,91,0,54,2,38,37,0,0
41,0,81,-5,42,0,40,40,0,0
44,0,81,0,44,9,37,37,0,0
41,0,89,0,42,22,48,48,0,0
37,2,79,0,30,-19,41,48,6,0
48,0,88,4,46,-2,40,42,2,0
44,2,86,1,44,13,43,42,0,0
37,0,77,2,36,9,41,41,0,0
47,-3,86,1,46,0,39,40,0,0
48,0,85,-4,46,0,37,39,2,0
37,0,80,0,24,-4,43,57,14,0
37,0,77,0,36,9,40,41,0,0
45,-2,76,0,46,17,31,30,0,0
38,2,76,0,36,-22,38,40,2,0
48,1,81,0,46,0,32,34,2,0
56,0,90,2,56,0,33,33,0,0
37,0,77,0,8,30,40,69,30,0
37,4,77,3,0,9,40,77,38,0
79,0,83,0,-46,-9,4,130,126,1
39,3,77,1,38,0,38,39,0,0
79,0,83,-2,-40,8,4,125,120,1
37,-1,79,0,26,22,42,53,12,0
81,0,84,0,-18,-11,3,103,100,1
49,0,88,0,50,7,40,39,0,0
41,4,81,0,42,3,40,40,0,0
51,1,81,-5,50,-19,30,32,2,0
37,0,75,-2,24,0,38,52,14,0
44,-4,76,0,42,-30,32,34,2,0
44,0,77,-7,44,0,33,33,0,0
53,1,79,0,52,0,26,27,2,0
44,0,79,-2,44,-4,35,35,0,0
41,0,97,0,42,12,56,56,0,0
46,0,88,1,46,7,42,41,0,0
41,0,82,0,38,-23,41,43,2,0
41,-2,81,0,42,16,40,39,0,0
37,0,78,0,-2,-22,41,81,40,0
49,-3,88,0,50,0,39,39,0,0
38,4,79,0,38,0,41,41,0,0
38,3,79,0,38,31,41,40,0,0
37,0,76,-2,34,0,40,43,2,0
45,-1,109,0,44,-9,64,66,2,0
45,2,88,0,44,0,43,44,2,0
37,0,77,0,18,-3,40,59,18,0
37,0,104,0,24,-16,66,80,14,0
41,0,88,0,42,8,48,47,0,0
37,0,90,-2,8,28,52,82,30,0
41,0,86,-1,42,12,45,44,0,0
45,1,93,0,44,-12,48,50,2,0
51,3,78,0,50,0,27,29,2,0
53,0,87,1,52,-9,34,35,2,0
101,0,102,0,72,15,1,29,28,1
40,2,86,0,38,0,47,48,2,0
43,-58,76,0,42,0,33,35,2,1
37,0,76,-1,28,4,39,47,8,0
37,0,104,0,24,-5,66,80,14,0
37,0,80,0,26,17,43,54,12,0
40,-3,106,0,38,0,65,67,2,0
37,0,77,0,-4,14,41,83,42,0
58,0,86,0,56,-13,27,29,2,0
49,0,95,0,46,-28,47,49,2,0
37,-3,76,0,-2,0,39,79,40,0
55,0,86,0,54,-1,31,32,2,0
44,-4,86,0,44,0,42,42,0,0
45,-1,86,0,44,-18,40,42,2,0
39,0,76,-1,38,0,36,37,0,0
49,-2,111,0,46,-29,62,64,2,0
49,4,85,0,46,0,36,39,2,0
54,-1,81,-3,54,-5,27,27,0,0
37,0,84,1,28,-12,47,55,8,0
37,0,97,0,24,6,60,74,14,0
45,1,108,0,44,-12,62,64,2,0
37,0,84,0,26,-8,47,58,10,0
37,0,79,-1,36,0,42,43,0,0
37,0,77,-1,-14,-18,40,92,52,0
51,-3,109,0,50,-15,59,60,2,0
82,0,86,0,-10,25,3,96,92,1
37,0,83,0,12,12,46,70,24,0
50,0,83,-2,50,0,32,33,2,0
51,0,78,0,52,2,27,26,0,0
45,0,93,0,44,0,48,49,0,0
37,0,76,5,26,18,39,50,12,0
45,0,83,0,46,29,38,37,0,0
44,-2,85,0,44,6,41,41,0,0
41,-5,76,0,42,1,35,35,0,0
47,0,85,3,46,0,38,39,0,0
58,-2,107,-6,56,0,49,50,0,0
51,-1,88,-2,50,-20,37,39,2,0
49,-2,79,0,46,-21,30,32,2,0
45,0,86,0,44,0,41,42,2,0
51,0,86,0,50,-13,35,37,2,0
53,3,83,0,52,-6,30,31,2,0
51,2,84,0,52,6,33,32,0,0
37,0,79,-7,16,0,42,64,22,0
37,0,95,-1,28,0,58,67,8,0
46,1,78,0,46,5,32,32,0,0
43,0,86,-5,42,0,44,45,2,0
37,0,78,0,24,-6,41,55,14,0
56,0,95,0,54,-5,40,41,2,0
45,0,90,-1,44,0,45,46,2,0
53,2,79,0,54,21,26,24,0,0
45,-1,77,0,44,0,33,34,0,0
56,-1,86,-4,56,5,30,29,0,0
52,-3,79,0,52,0,26,27,0,0
45,-5,79,-5,44,0,34,35,2,0
45,-2,81,0,46,16,36,35,0,0
51,0,81,2,50,-13,30,32,2,0
41,6,78,0,42,-12,37,37,0,0
40,-1,77,0,38,0,37,38,2,0
51,0,83,8,50,-5,32,33,2,0
50,0,88,8,50,0,38,39,2,0
47,-3,83,-1,46,-2,36,37,0,0
42,0,81,-18,42,0,39,40,2,0
52,2,78,0,52,1,26,26,0,0
49,0,78,0,46,-27,29,32,2,0
44,0,82,0,42,-14,38,41,2,0
44,-1,84,4,44,0,40,41,0,0
45,0,79,-2,44,8,33,35,2,0
38,4,77,0,38,12,39,38,0,0
37,1,76,0,36,0,38,39,2,0
43,0,76,0,44,13,33,32,0,0
51,4,88,0,50,0,37,39,2,0
44,0,76,0,42,-7,32,35,2,0
53,1,79,0,54,2,25,24,0,0
48,0,86,-4,46,0,38,39,2,0
43,0,86,0,42,-5,42,44,2,0
64,4,112,0,62,0,48,50,2,0
41,0,89,0,42,11,48,48,0,0
39,-9,78,0,-2,-28,39,81,42,0
44,-4,83,0,44,7,40,39,0,0
46,0,75,-5,46,5,29,28,0,0
53,0,86,2,52,-4,33,35,2,0
53,0,84,0,54,3,32,30,0,0
44,0,76,-2,42,-23,32,34,2,0
39,0,78,-5,38,0,39,39,0,0
44,1,86,0,44,19,43,42,0,0
51,0,102,0,52,31,51,50,0,0
42,-3,108,0,42,0,66,67,0,0
37,0,83,7,6,0,46,78,32,0
46,3,79,0,46,10,33,32,0,0
37,3,80,0,2,0,43,77,34,0
37,0,93,0,30,7,56,62,6,0
44,1,81,2,42,-13,37,39,2,0
45,-1,86,0,44,0,41,42,0,0
39,0,76,-5,38,0,37,37,0,0
47,-2,85,-1,46,0,38,39,0,0
47,-2,84,-3,46,0,38,38,0,0
40,3,81,-5,38,0,41,42,2,0
45,-4,81,-1,46,12,35,34,0,0
46,1,80,0,44,-18,34,36,2,0
47,0,84,0,46,0,36,37,0,0
40,0,89,8,38,0,49,50,2,0
56,3,89,0,54,-6,33,35,2,0
37,1,97,0,34,3,60,64,4,0
37,0,103,0,34,1,66,69,4,0
53,1,79,0,54,17,26,24,0,0
50,-3,90,0,50,0,39,41,2,0
51,0,86,-1,52,9,35,35,0,0
49,2,79,0,46,-22,31,33,2,0
37,0,78,0,8,27,41,70,30,0
81,0,84,0,-18,1,4,103,98,1
43,0,86,-1,42,-22,42,44,2,0
37,0,78,0,34,0,41,45,4,0
49,0,81,0,46,-27,32,34,2,0
49,0,76,-7,50,0,27,27,0,0
37,-1,79,0,18,16,42,61,18,0
43,0,84,1,42,0,41,43,2,0
55,0,83,6,54,0,28,29,0,0
37,0,93,0,12,5,55,80,24,0
44,0,99,-3,42,-19,56,58,2,0
37,0,81,0,26,-8,44,55,10,0
54,3,83,0,54,0,29,28,0,0
56,-4,86,0,56,0,31,30,0,0
44,0,83,0,44,9,39,39,0,0
80,-1,84,1,-36,20,5,121,116,1
53,-5,82,0,54,0,29,28,0,0
49,0,88,1,50,20,40,39,0,0
46,0,84,0,46,4,39,38,0,0
57,4,82,0,56,0,25,25,0,0
45,0,93,0,44,-6,48,50,2,0
47,-1,95,0,46,0,49,49,0,0
43,0,88,0,44,24,45,44,0,0
37,0,92,0,24,5,55,69,14,0
44,4,88,0,42,-14,44,46,2,0
53,4,86,0,54,29,33,32,0,0
37,-2,82,0,38,8,45,43,0,0
46,5,78,0,46,13,32,32,0,0
47,0,88,6,46,0,41,42,0,0
51,0,82,0,50,-3,31,33,2,0
43,0,81,7,42,-9,38,40,2,0
59,0,108,0,56,-4,49,51,2,0
42,0,85,-3,42,0,43,44,2,0
37,0,79,0,24,-8,43,56,14,0
51,4,78,-2,52,7,27,26,0,0
37,0,84,0,20,10,47,63,16,0
37,0,76,2,20,-9,39,55,16,0
46,0,109,0,46,7,64,63,0,0
81,-1,84,0,-20,18,4,105,102,1
44,0,84,-1,44,8,41,41,0,0
84,-3,88,0,6,0,4,83,80,1
53,0,87,0,52,-13,34,35,2,0
48,-2,87,0,50,30,39,38,0,0
49,-2,77,0,50,-1,28,28,0,0
46,1,86,0,44,-22,40,42,2,0
52,1,81,-4,52,0,29,30,0,0
45,0,87,0,46,28,42,41,0,0
43,-1,88,0,44,21,44,44,0,0
49,2,88,0,46,0,40,42,2,0
37,0,106,0,34,-22,68,72,4,0
58,-4,88,0,56,0,31,31,0,0
37,0,79,0,34,0,42,46,4,0
37,0,76,-2,24,0,40,53,14,0
46,0,88,-6,46,0,43,42,0,0
46,4,83,0,46,12,37,37,0,0
37,0,79,2,26,-30,43,54,10,0
50,0,83,0,50,0,32,33,2,0
37,0,76,0,36,0,38,39,2,0
58,2,84,0,56,0,26,27,0,0
50,0,84,8,50,0,35,35,0,0
37,0,78,0,-4,6,41,83,42,0
56,1,82,0,56,14,26,25,0,0
43,0,81,0,42,-2,37,39,2,0
42,-3,84,-4,42,0,42,43,0,0
43,-1,79,0,42,-8,35,37,2,0
39,2,86,0,38,0,47,48,0,0
42,0,89,-1,42,0,47,48,2,0
38,1,90,-2,8,-5,52,82,30,0
37,0,76,-1,24,6,39,52,14,0
52,1,79,-3,52,0,28,28,0,0
36,-1,77,0,36,0,41,41,0,0
37,0,82,0,18,-11,45,64,18,0
47,1,78,-5,46,0,31,32,0,0
37,0,76,0,36,8,40,40,0,0
41,-1,77,0,42,3,36,36,0,0
37,0,79,0,6,-13,42,74,32,0
41,-1,78,0,38,-18,37,39,2,0
49,0,106,-2,50,3,57,57,0,0
37,0,82,0,38,20,45,43,0,0
37,0,98,2,30,0,61,67,6,0
37,0,95,0,26,2,58,70,12,0
43,-2,79,1,42,-11,35,37,2,0
79,0,84,4,-32,-11,4,117,112,1
48,0,84,0,50,25,36,35,0,0
42,-4,81,0,42,0,40,40,0,0
37,2,110,17,28,0,73,82,8,0
53,0,86,0,52,-9,33,34,2,0
51,0,109,4,52,6,58,58,0,0
42,5,81,0,42,0,38,39,2,0
43,-4,86,0,42,-15,43,45,2,0
45,0,82,-3,44,0,37,38,0,0
37,0,79,0,6,-25,42,74,32,0
37,2,80,0,20,0,43,59,16,0
55,0,83,-7,54,0,27,28,2,0
49,0,86,0,50,4,37,37,0,0
53,0,81,8,54,0,28,27,0,0
81,0,84,0,-18,-17,3,103,100,1
43,0,81,-3,42,-9,37,39,2,0
51,1,83,0,52,30,32,31,0,0
37,0,90,0,36,27,53,54,2,0
44,4,76,0,44,18,32,32,0,0
37,0,80,0,26,1,43,54,12,0
45,0,84,0,44,-17,38,40,2,0
43,0,90,0,42,-4,47,49,2,0
37,0,79,0,16,15,42,63,22,0
37,0,103,0,24,31,66,80,14,0
37,0,107,-5,26,0,70,81,12,0
44,1,81,0,44,8,37,37,0,0
47,0,79,3,46,0,32,32,0,0
53,0,77,0,54,0,24,23,0,0
45,0,81,0,44,3,36,37,2,0
45,0,83,6,44,-15,37,39,2,0
37,0,103,1,20,0,66,82,16,0
42,0,79,2,42,0,37,38,2,0
37,0,75,0,18,-1,38,57,18,0
51,-4,83,0,52,0,32,32,0,0
37,0,77,0,26,-6,40,51,12,0
37,0,77,0,34,-21,40,43,4,0
37,0,79,7,0,0,42,79,36,0
37,0,77,7,24,0,40,54,14,0
37,0,92,0,24,9,55,69,14,0
43,0,82,0,42,-9,39,41,2,0
55,0,88,0,54,0,32,33,2,0
52,-1,85,0,52,0,33,33,0,0
40,0,81,-7,38,0,41,42,2,0
49,-3,81,0,50,0,32,32,0,0
41,0,82,0,38,-9,41,43,2,0
43,0,108,0,42,-1,64,66,2,0
41,0,82,0,38,-6,41,43,2,0
57,0,92,1,56,0,34,35,0,0
53,3,81,0,52,0,28,30,2,0
37,0,81,0,24,5,44,57,14,0
43,0,76,0,44,17,33,32,0,0
49,0,86,0,50,2,38,37,0,0
48,0,102,-2,46,-12,53,55,2,0
42,0,76,-6,42,0,34,35,0,0
38,2,81,0,38,8,43,42,0,0
45,0,88,0,44,0,43,44,2,0
41,0,85,0,38,4,44,46,2,0
37,0,106,1,20,-5,69,85,16,0
51,1,81,0,52,5,30,30,0,0
41,1,81,0,42,31,40,39,0,0
41,3,81,0,38,-18,39,42,2,0
52,0,78,-2,52,-2,26,26,0,0
37,0,76,-4,20,0,40,55,16,0
38,-5,82,4,38,0,44,43,0,0
37,0,77,-3,28,-13,40,48,8,0
49,0,95,-2,50,4,46,46,0,0
38,0,93,8,20,1,55,72,18,0
47,0,77,-2,46,0,31,31,0,0
46,-1,88,0,46,0,43,42,0,0
70,-5,74,-4,-42,-12,4,118,114,1
55,-3,96,0,54,-12,41,42,2,0
39,-4,81,0,38,0,41,42,0,0
48,0,82,-3,50,31,34,33,0,0
44,1,77,0,44,11,33,33,0,0
43,-2,79,0,42,-15,35,37,2,0
55,4,93,0,54,0,37,39,2,0
56,0,107,-4,54,-10,51,53,2,0
46,-5,88,0,46,1,42,41,0,0
56,5,86,0,56,0,30,30,0,0
37,0,95,0,24,2,58,72,14,0
37,0,94,0,10,10,57,84,28,0
37,0,76,-2,36,0,40,40,0,0
42,2,96,0,42,0,54,55,2,0
43,0,86,0,44,27,42,42,0,0
45,0,86,0,46,21,40,39,0,0
79,0,83,0,-42,15,4,127,122,1
85,0,88,0,6,0,3,83,80,1
43,0,80,4,44,21,37,36,0,0
45,0,90,0,46,26,45,44,0,0
37,0,77,0,-22,16,41,101,60,0
37,0,80,0,34,20,43,46,2,0
41,0,83,-2,42,2,41,41,0,0
54,3,81,3,54,0,28,27,0,0
37,0,76,-5,30,-21,39,45,6,0
45,-5,86,0,46,18,41,40,0,0
37,0,96,-1,18,0,59,78,18,0
37,0,105,0,34,17,68,71,4,0
37,0,82,-5,36,0,45,46,0,0
41,1,86,3,38,-26,45,48,2,0
45,0,79,3,46,21,34,33,0,0
53,-1,82,5,54,0,29,28,0,0
46,0,84,0,46,0,38,37,0,0
51,0,84,1,52,5,33,32,0,0
103,-2,104,-5,72,12,1,31,30,1
45,0,87,2,44,0,43,43,0,0
38,0,106,0,38,3,68,67,0,0
38,4,76,0,36,-27,38,40,2,0
37,0,80,5,28,0,43,52,8,0
44,0,86,0,42,-8,42,44,2,0
45,-1,83,0,44,-24,37,39,2,0
41,0,83,0,42,10,42,42,0,0
48,-1,83,2,46,0,35,37,2,0
60,4,87,0,60,0,27,28,0,0
50,-4,86,0,50,0,37,37,0,0
47,0,84,-1,46,0,38,38,0,0
45,0,78,-1,44,-8,33,34,2,0
54,-1,78,0,54,0,24,24,0,0
51,-2,84,5,52,0,33,33,0,0
40,2,77,-2,38,0,38,39,2,0
44,3,108,-2,44,9,64,64,0,0
46,2,86,0,46,6,41,40,0,0
86,5,89,0,2,-1,3,86,84,1
37,0,83,1,24,-4,46,60,14,0
37,0,93,4,12,0,56,81,24,0
43,0,77,0,44,25,34,34,0,0
56,0,86,0,54,-29,31,32,2,0
45,-1,78,0,46,9,33,32,0,0
50,2,82,0,50,0,32,33,0,0
45,2,78,0,44,0,34,34,0,0
45,4,80,0,44,0,35,36,0,0
41,1,81,0,38,0,41,43,2,0
37,0,77,-5,34,-17,40,44,4,0
59,0,108,0,56,-7,49,51,2,0
46,0,76,0,46,13,30,30,0,0
41,0,89,0,42,31,48,48,0,0
51,0,86,0,50,-12,36,37,2,0
37,0,81,6,36,0,43,44,2,0
37,0,79,5,-6,0,42,86,44,0
43,-6,83,0,42,-23,39,41,2,0
37,0,76,0,34,28,39,42,4,0
46,5,86,0,44,-16,41,42,2,0
42,0,82,4,42,0,40,41,0,0
37,0,81,0,30,4,44,50,6,0
37,0,78,0,12,4,41,65,24,0
37,0,78,0,30,11,41,47,6,0
37,0,81,5,16,0,44,65,22,0
48,1,106,-3,46,0,58,60,2,0
37,0,93,0,10,0,56,83,28,0
37,0,78,0,16,21,42,63,22,0
37,0,104,0,26,9,67,78,12,0
41,0,85,0,38,-11,44,46,2,0
51,0,87,0,52,7,36,35,0,0
103,0,104,6,70,0,1,35,34,1
51,-1,109,0,50,-4,59,60,2,0
37,0,75,0,28,2,38,46,8,0
37,2,106,-2,28,0,69,78,8,0
45,-1,81,0,44,0,36,37,2,0
49,1,102,0,50,15,53,53,0,0
52,5,84,0,52,0,33,33,0,0
46,0,81,-4,44,-29,35,37,2,0
37,0,83,0,30,-1,46,52,6,0
105,0,106,-2,70,-3,1,36,36,1
43,0,77,0,44,31,34,34,0,0
45,0,83,0,44,-20,37,39,2,0
37,0,94,0,12,-9,57,81,24,0
48,-1,108,0,46,0,60,61,2,0
53,1,79,0,54,15,26,24,0,0
37,0,83,0,34,9,46,50,4,0
37,-1,77,0,36,0,40,41,0,0
37,0,81,-3,36,-22,43,44,2,0
56,4,96,0,54,6,40,42,2,0
37,0,81,0,20,-12,44,60,16,0
37,0,78,0,2,-19,42,75,34,0
51,1,81,0,50,-30,29,32,2,0
37,0,79,-7,0,9,42,79,36,0
37,0,78,0,6,4,41,73,32,0
46,3,83,0,46,8,37,36,0,0
42,2,86,0,42,0,43,44,2,0
52,2,79,2,52,0,27,27,0,0
39,1,77,6,38,0,38,38,0,0
37,4,79,0,18,0,42,61,20,0
37,0,98,0,30,-1,61,67,6,0
40,3,106,-1,38,0,65,67,2,0
41,0,86,3,38,-5,46,48,2,0
37,0,97,0,12,31,59,84,24,0
43,0,88,0,42,-8,44,46,2,0
37,0,79,0,28,6,42,51,8,0
82,0,86,0,-40,9,4,128,124,1
47,-1,87,-3,46,-5,40,41,0,0
37,0,84,0,26,-4,47,58,10,0
56,0,107,0,56,11,51,50,0,0
58,0,86,0,60,31,28,27,0,0
37,0,79,2,2,3,42,76,34,0
39,-5,106,0,38,0,67,67,0,0
40,3,89,-7,38,0,49,50,2,0
37,0,77,7,28,0,41,49,8,0
37,0,78,0,8,4,41,70,30,0
44,0,83,0,44,16,39,39,0,0
37,0,86,8,36,0,50,50,0,0
37,0,76,2,26,0,40,50,10,0
85,0,88,4,6,0,3,83,80,1
41,0,81,-2,38,-9,40,42,2,0
37,0,79,0,36,12,41,43,2,0
37,-36,106,6,36,0,69,69,0,0
43,-4,79,0,44,19,35,35,0,0
48,3,79,1,46,0,30,32,2,0
48,0,88,-1,46,0,39,41,2,0
50,0,78,2,50,0,28,29,2,0
37,0,84,0,26,-16,47,58,10,0
39,2,82,1,38,0,42,43,0,0
46,5,81,0,46,12,35,35,0,0
53,0,88,0,54,20,35,33,0,0
51,3,87,1,52,10,36,35,0,0
55,4,85,0,54,0,31,31,0,0
46,0,85,0,46,13,39,39,0,0
44,0,80,-3,42,-14,36,39,2,0
45,-5,77,0,44,-19,32,34,2,0
41,0,83,3,38,-3,42,44,2,0
40,-1,81,0,38,0,41,43,2,0
40,0,81,-6,38,0,41,42,2,0
43,0,86,0,42,-8,43,45,2,0
41,-1,77,0,38,-15,37,39,2,0
37,-2,109,0,36,0,72,73,0,0
55,0,78,0,54,0,23,24,0,0
46,-2,79,0,46,9,33,32,0,0
56,-1,86,0,56,5,31,30,0,0
41,-1,84,0,42,10,43,43,0,0
54,0,102,-7,54,0,49,48,0,0
39,2,75,0,38,0,36,36,0,0
45,-1,85,0,44,0,41,41,0,0
44,1,77,6,44,0,33,34,0,0
44,0,102,0,44,5,59,58,0,0
41,0,77,0,38,-9,37,39,2,0
40,0,76,-2,38,0,36,37,2,0
