id;gender;age;previously_insured;vehicle_age;vehicle_damage;annual_premium;vintage;response
2813;female;27;yes;1;no;26492;125;not-interested
2814;female;29;no;1;no;32757;184;not-interested
2815;male;42;no;2;yes;31454;231;not-interested
2816;female;24;yes;1;no;21789;177;not-interested
2817;male;41;no;2;yes;34336;243;not-interested
2818;male;34;no;2;yes;32883;142;interested
2819;male;45;no;2;yes;23593;98;interested
2820;female;26;yes;1;no;30540;221;not-interested
2821;male;35;no;2;yes;50189;189;not-interested
2822;male;24;yes;1;no;27094;122;not-interested
2823;female;45;no;2;yes;2630;118;not-interested
2824;male;24;no;1;yes;2630;39;not-interested
2825;female;26;no;1;yes;30708;285;not-interested
2826;female;34;no;2;yes;23223;199;not-interested
2827;male;53;no;2;no;30683;186;not-interested
2828;female;26;yes;1;yes;2630;265;not-interested
2829;male;46;no;2;yes;59248;105;not-interested
2830;male;66;no;2;yes;33497;134;not-interested
2831;male;27;no;2;yes;25911;107;not-interested
2832;male;22;yes;1;no;31095;270;not-interested
2833;female;21;yes;1;no;28878;23;not-interested
2834;female;35;no;2;yes;2630;276;not-interested
2835;male;22;yes;1;no;29600;277;not-interested
2836;female;26;yes;1;no;29598;190;not-interested
2837;male;60;no;2;no;47325;237;not-interested
2838;female;72;yes;2;no;41718;212;not-interested
2839;female;24;yes;1;no;31407;260;not-interested
2840;female;52;no;2;no;34375;208;not-interested
2841;female;23;yes;1;no;38813;197;not-interested
2842;female;50;no;2;yes;2630;117;not-interested
2843;male;21;no;1;yes;43010;94;not-interested
2844;male;23;yes;1;no;36180;289;not-interested
2845;female;22;no;1;no;28564;257;not-interested
2846;male;22;yes;1;no;2630;71;not-interested
2847;female;49;yes;2;no;2630;127;not-interested
2848;male;54;yes;2;no;41595;131;not-interested
2849;female;47;no;2;yes;48109;181;not-interested
2850;male;79;no;3;yes;40446;252;not-interested
2851;female;57;yes;2;no;59172;216;not-interested
2852;female;27;yes;1;no;19969;194;not-interested
2853;male;72;no;2;yes;25857;82;not-interested
2854;male;28;no;2;yes;30814;293;not-interested
2855;female;68;yes;2;no;42642;178;not-interested
2856;male;59;no;2;yes;41011;102;not-interested
2857;female;25;yes;1;no;37220;124;not-interested
2858;female;25;yes;1;no;30496;191;not-interested
2859;female;44;no;3;yes;39060;56;not-interested
2860;male;39;no;2;yes;33093;78;not-interested
2861;female;48;no;2;yes;40885;68;not-interested
2862;male;26;yes;1;no;37931;67;not-interested
2863;female;23;no;1;no;29111;258;not-interested
2864;female;47;no;2;yes;29058;115;not-interested
2865;male;30;no;1;yes;72167;40;not-interested
2866;female;23;no;1;yes;2630;215;not-interested
2867;female;52;no;2;yes;2630;218;not-interested
2868;male;44;no;2;yes;24102;94;interested
2869;female;20;no;1;yes;35536;25;not-interested
2870;male;25;no;1;yes;2630;94;not-interested
2871;female;64;no;2;yes;52620;17;not-interested
2872;male;60;no;2;yes;31806;67;not-interested
2873;female;59;no;3;yes;51874;186;interested
2874;male;80;yes;2;yes;2630;137;not-interested
2875;female;22;no;1;yes;29381;130;not-interested
2876;female;40;no;2;yes;36769;195;not-interested
2877;female;35;no;2;yes;2630;29;interested
2878;male;26;yes;1;no;40986;19;not-interested
2879;male;23;no;1;yes;26686;152;not-interested
2880;male;42;yes;2;no;27660;27;not-interested
2881;male;57;no;2;yes;38872;226;not-interested
2882;female;37;yes;2;no;37150;260;not-interested
2883;female;25;yes;1;no;33909;106;not-interested
2884;male;31;no;2;yes;2630;294;interested
2885;female;22;no;1;yes;68344;165;not-interested
2886;male;26;no;1;no;39964;71;not-interested
2887;male;50;no;3;yes;47608;243;not-interested
2888;male;44;no;2;no;2630;58;not-interested
2889;male;38;no;2;yes;28506;183;not-interested
2890;male;43;no;2;yes;18719;124;not-interested
2891;female;57;no;2;yes;2630;60;not-interested
2892;male;31;no;1;yes;53775;19;not-interested
2893;female;26;yes;1;no;30603;95;not-interested
2894;male;41;no;2;yes;21393;186;interested
2895;male;50;no;2;yes;34998;14;interested
2896;female;23;yes;1;no;2630;213;not-interested
2897;female;27;yes;1;no;20629;137;not-interested
2898;male;55;yes;2;no;46674;286;not-interested
2899;female;23;yes;1;no;26413;276;not-interested
2900;female;25;yes;1;no;32600;100;not-interested
2901;female;40;no;2;yes;25145;47;interested
2902;female;51;no;2;no;55347;189;not-interested
2903;male;23;yes;1;no;38697;252;not-interested
2904;male;51;no;3;yes;51698;225;interested
2905;female;67;no;3;yes;51467;259;not-interested
2906;male;43;yes;2;no;35404;164;not-interested
2907;male;40;no;2;yes;32069;50;not-interested
2908;male;38;no;2;yes;24197;258;not-interested
2909;female;32;yes;1;no;30687;162;not-interested
2910;male;37;no;3;yes;33548;75;not-interested
2911;male;25;no;2;yes;2630;241;interested
2912;male;27;yes;1;no;59850;129;not-interested
2913;female;49;no;2;no;45036;100;not-interested
2914;male;27;no;1;no;26343;154;not-interested
2915;female;24;yes;1;no;42142;31;not-interested
2916;male;20;yes;1;yes;22875;188;not-interested
2917;female;39;yes;2;no;24466;221;not-interested
2918;male;48;yes;2;no;29941;242;not-interested
2919;female;23;no;1;no;33380;18;not-interested
2920;female;73;no;2;yes;27534;38;not-interested
2921;male;25;yes;1;no;44025;275;not-interested
2922;female;36;no;2;yes;37093;115;interested
2923;female;26;no;1;yes;2630;128;not-interested
2924;male;35;yes;2;no;45311;96;not-interested
2925;female;21;yes;1;no;30639;145;not-interested
2926;female;25;yes;1;no;37409;232;not-interested
2927;female;26;yes;1;no;2630;221;not-interested
2928;male;71;no;2;yes;36682;162;not-interested
2929;male;63;no;2;yes;41118;194;not-interested
2930;male;22;no;2;yes;55019;277;not-interested
2931;male;21;yes;1;no;50747;188;not-interested
2932;male;22;yes;1;no;21383;107;not-interested
2933;male;78;no;2;no;45264;186;not-interested
2934;male;50;no;2;yes;36100;92;not-interested
2935;male;22;yes;1;no;2630;232;not-interested
2936;female;68;no;2;yes;20724;125;not-interested
2937;female;27;yes;1;no;72611;291;not-interested
2938;female;40;yes;2;no;50638;198;not-interested
2939;female;24;no;1;no;34051;179;not-interested
2940;female;21;yes;1;no;28684;184;not-interested
2941;female;46;no;2;yes;37201;50;not-interested
2942;male;52;no;2;yes;2630;110;not-interested
2943;female;46;no;2;yes;55511;45;not-interested
2944;male;67;no;2;yes;45024;124;not-interested
2945;female;27;yes;1;no;35872;63;not-interested
2946;male;25;yes;1;no;29895;101;not-interested
2947;female;46;no;2;no;28400;30;not-interested
2948;male;32;no;2;yes;2630;289;not-interested
2949;female;23;yes;1;no;35982;111;not-interested
2950;female;64;yes;2;no;2630;281;not-interested
2951;male;33;no;2;yes;30187;200;not-interested
2952;male;27;no;2;yes;25445;174;interested
2953;female;24;yes;1;no;30771;82;not-interested
2954;male;24;yes;1;no;26664;29;not-interested
2955;male;63;no;2;yes;34987;215;not-interested
2956;female;64;no;2;no;37503;53;not-interested
2957;male;36;no;2;yes;61020;15;interested
2958;male;72;no;2;yes;72033;253;not-interested
2959;male;24;yes;1;no;25746;223;not-interested
2960;male;62;no;2;yes;2630;237;interested
2961;female;28;yes;1;no;25991;210;not-interested
2962;female;26;yes;1;no;23597;136;not-interested
2963;female;53;no;2;yes;31992;149;not-interested
2964;female;48;no;2;yes;2630;244;not-interested
2965;female;49;no;2;yes;34634;268;not-interested
2966;female;32;yes;1;no;31829;104;not-interested
2967;male;25;yes;1;no;32762;98;not-interested
2968;male;26;yes;1;no;32736;165;not-interested
2969;female;29;yes;1;yes;25012;175;not-interested
2970;female;23;yes;1;no;43391;297;not-interested
2971;male;41;no;2;yes;63423;140;interested
2972;male;29;yes;1;no;27230;216;not-interested
2973;male;48;yes;2;yes;37195;13;not-interested
2974;male;62;no;2;yes;31572;123;not-interested
2975;female;47;no;2;yes;32550;142;not-interested
2976;female;21;no;2;yes;25577;75;interested
2977;female;23;yes;1;no;25293;241;not-interested
2978;female;23;no;1;yes;22493;250;not-interested
2979;male;68;no;2;yes;22054;213;interested
2980;female;66;no;2;yes;54295;278;not-interested
2981;female;22;yes;1;no;25077;295;not-interested
2982;male;56;no;3;yes;2630;121;interested
2983;female;51;no;2;yes;43779;177;not-interested
2984;male;24;no;1;yes;31428;128;not-interested
2985;female;71;no;3;yes;2630;177;not-interested
2986;male;42;no;2;yes;2630;263;interested
2987;female;23;yes;1;no;29985;87;not-interested
2988;male;27;yes;1;no;37217;56;not-interested
2989;female;45;no;2;yes;17913;203;not-interested
2990;male;36;no;2;yes;37860;171;interested
2991;female;50;yes;2;no;31122;172;not-interested
2992;male;60;no;2;yes;28073;220;not-interested
2993;female;23;yes;1;no;24009;174;not-interested
2994;female;48;no;2;yes;37158;37;not-interested
2995;male;21;no;1;yes;40693;187;interested
2996;male;74;no;3;yes;2630;231;interested
2997;male;45;no;3;yes;43780;207;interested
2998;female;46;no;3;yes;40790;43;not-interested
2999;male;36;no;2;yes;40803;254;not-interested
3000;male;49;no;2;yes;57197;129;not-interested
3001;male;24;yes;1;no;33458;215;not-interested
3002;male;74;no;3;yes;2630;134;not-interested
3003;female;72;yes;2;yes;26954;237;not-interested
3004;male;26;yes;1;no;34088;65;not-interested
3005;female;20;no;1;yes;34675;36;not-interested
3006;male;33;no;1;yes;2630;129;not-interested
3007;female;34;no;2;yes;32276;204;not-interested
3008;male;35;no;2;yes;34639;183;interested
3009;male;36;yes;2;no;34012;236;not-interested
3010;male;42;no;2;yes;36361;91;not-interested
3011;female;22;no;1;yes;35602;176;not-interested
3012;female;25;yes;1;no;29419;183;not-interested
3013;female;38;yes;2;no;33133;272;not-interested
3014;female;51;no;2;yes;2630;140;not-interested
3015;female;28;yes;1;no;31625;10;not-interested
3016;female;59;no;2;yes;45031;221;not-interested
3017;male;46;yes;2;yes;40256;144;not-interested
3018;male;49;no;2;no;2630;240;not-interested
3019;female;26;yes;1;no;31389;62;not-interested
3020;female;52;no;3;yes;46491;104;interested
3021;female;25;yes;1;no;24366;15;not-interested
3022;female;48;yes;2;no;42157;74;not-interested
3023;male;51;no;2;yes;32698;164;interested
3024;male;49;no;2;yes;32686;78;not-interested
3025;female;31;no;2;yes;2630;167;interested
3026;female;22;yes;1;no;36082;126;not-interested
3027;male;62;no;2;yes;2630;130;not-interested
3028;male;46;no;2;yes;2630;294;not-interested
3029;male;59;yes;2;no;43064;212;not-interested
3030;female;29;yes;1;no;28363;192;not-interested
3031;female;48;yes;2;no;26259;34;not-interested
3032;male;50;yes;2;no;34533;39;not-interested
3033;female;62;no;2;no;2630;185;not-interested
3034;male;57;no;3;yes;2630;219;interested
3035;female;31;no;2;yes;27953;127;not-interested
3036;male;47;no;2;yes;50725;41;interested
3037;female;24;yes;1;no;32244;200;not-interested
3038;male;54;no;2;yes;38999;288;not-interested
3039;female;22;yes;1;no;29069;74;not-interested
3040;male;74;no;2;yes;2630;158;not-interested
3041;male;27;yes;1;no;41337;169;not-interested
3042;male;29;yes;1;no;38728;219;not-interested
3043;male;24;no;1;yes;30685;78;not-interested
3044;male;27;no;2;yes;2630;16;not-interested
3045;female;78;no;2;yes;31471;231;interested
3046;male;41;yes;2;yes;34768;176;not-interested
3047;male;31;no;1;yes;27005;108;interested
3048;male;67;no;2;yes;2630;205;not-interested
3049;male;33;yes;2;no;2630;170;not-interested
3050;female;68;yes;2;no;35772;130;not-interested
3051;male;20;no;2;yes;27651;45;not-interested
3052;male;37;no;2;no;34794;239;not-interested
3053;male;50;no;3;yes;22582;144;not-interested
3054;male;74;no;2;yes;33892;252;not-interested
3055;male;29;yes;1;no;40951;128;not-interested
3056;male;41;no;2;no;2630;288;interested
3057;female;69;yes;2;no;23052;60;not-interested
3058;male;25;yes;1;no;21429;162;not-interested
3059;female;44;no;2;no;34398;154;not-interested
3060;female;24;yes;1;no;25383;173;not-interested
3061;male;50;no;2;yes;35641;212;not-interested
3062;female;33;no;1;yes;26929;249;interested
3063;male;25;no;1;yes;33879;109;interested
3064;male;29;yes;1;no;27702;63;not-interested
3065;female;25;no;1;no;30305;75;not-interested
3066;male;38;no;2;yes;36116;283;interested
3067;female;23;yes;1;no;54444;100;not-interested
3068;male;44;no;2;yes;37781;231;not-interested
3069;female;50;no;2;yes;39342;82;not-interested
3070;male;52;no;2;yes;30276;126;not-interested
3071;male;44;no;2;yes;33203;283;interested
3072;male;24;yes;1;yes;30158;253;not-interested
3073;female;23;no;1;yes;64605;225;not-interested
3074;male;47;no;2;yes;32629;31;not-interested
3075;female;34;no;2;yes;39065;11;not-interested
3076;male;25;yes;1;no;37562;279;not-interested
3077;male;22;no;1;yes;2630;36;not-interested
3078;female;76;no;2;no;36099;157;not-interested
3079;male;27;yes;1;no;31207;199;not-interested
3080;female;54;no;2;yes;46344;235;not-interested
3081;female;24;yes;1;no;33457;119;not-interested
3082;female;42;no;2;yes;42861;17;not-interested
3083;female;31;yes;1;no;22690;283;not-interested
3084;male;23;yes;1;no;2630;279;not-interested
3085;male;23;no;1;yes;27052;73;not-interested
3086;male;78;no;2;yes;2630;53;not-interested
3087;male;35;no;2;yes;2630;260;not-interested
3088;male;28;yes;1;no;26373;196;not-interested
3089;male;51;no;2;yes;53586;32;not-interested
3090;male;28;yes;1;no;18149;187;not-interested
3091;female;47;yes;2;no;31215;32;not-interested
3092;female;41;no;3;yes;38889;50;not-interested
3093;female;45;yes;2;no;33593;163;not-interested
3094;female;31;no;1;yes;31188;55;interested
3095;female;49;no;2;yes;36216;48;not-interested
3096;female;25;no;1;yes;29851;69;not-interested
3097;male;34;yes;2;no;33291;142;not-interested
3098;male;46;no;2;yes;37447;162;interested
3099;female;35;no;2;yes;2630;239;interested
3100;male;21;no;1;no;32500;14;not-interested
3101;female;64;no;3;yes;71611;132;not-interested
3102;male;55;no;2;yes;68192;241;not-interested
3103;female;54;no;2;yes;35161;208;not-interested
3104;male;43;yes;2;no;2630;236;not-interested
3105;female;22;yes;1;no;24059;144;not-interested
3106;male;26;no;2;no;2630;121;not-interested
3107;female;27;yes;1;no;28540;231;not-interested
3108;male;39;no;2;yes;24967;96;not-interested
3109;female;21;no;1;yes;24670;145;not-interested
3110;male;24;yes;1;no;21237;78;not-interested
3111;female;23;yes;1;no;32838;253;not-interested
3112;female;23;no;1;yes;34696;32;not-interested
3113;female;24;yes;1;no;25891;19;not-interested
3114;male;50;no;2;yes;38789;165;not-interested
3115;male;37;no;2;yes;42741;233;interested
3116;female;25;yes;1;no;35401;229;not-interested
3117;male;43;no;2;yes;38258;197;interested
3118;female;57;no;2;yes;40226;230;not-interested
3119;female;57;no;2;yes;2630;96;not-interested
3120;male;32;yes;1;yes;2630;195;not-interested
3121;female;27;yes;1;no;36197;172;not-interested
3122;female;71;no;3;yes;48588;204;not-interested
3123;female;25;no;1;yes;28920;128;interested
3124;male;43;yes;2;no;35348;78;not-interested
3125;male;44;no;2;no;31445;98;not-interested
3126;female;25;no;1;yes;37712;217;not-interested
3127;male;49;no;2;yes;41353;240;not-interested
3128;male;44;yes;2;no;52747;87;not-interested
3129;female;30;yes;1;no;59172;218;not-interested
3130;male;47;no;2;yes;26275;11;interested
3131;male;24;yes;1;no;18857;75;not-interested
3132;male;48;no;2;yes;20860;241;interested
3133;male;22;yes;1;no;29420;200;not-interested
3134;female;45;no;2;yes;36141;223;interested
3135;female;34;no;2;yes;42051;27;interested
3136;female;54;no;2;yes;41264;91;not-interested
3137;male;25;no;1;yes;22310;272;not-interested
3138;male;77;no;3;yes;31422;62;not-interested
3139;male;28;yes;1;no;46959;184;not-interested
3140;male;23;yes;1;no;35123;137;not-interested
3141;female;58;no;3;yes;56175;119;not-interested
3142;male;22;yes;1;no;22844;247;not-interested
3143;male;61;no;2;yes;40121;21;not-interested
3144;male;25;no;1;yes;2630;138;interested
3145;female;25;yes;1;no;56900;266;not-interested
3146;male;23;yes;1;no;31129;235;not-interested
3147;male;21;no;1;no;28744;167;not-interested
3148;male;22;no;1;no;43383;190;not-interested
3149;female;22;no;1;yes;30433;96;not-interested
3150;female;24;yes;1;no;26947;107;not-interested
3151;male;31;yes;1;no;33620;66;not-interested
3152;male;27;no;2;yes;68241;117;not-interested
3153;male;24;yes;1;no;53952;102;not-interested
3154;female;31;no;1;no;36992;41;not-interested
3155;female;28;yes;1;no;38120;279;not-interested
3156;female;36;yes;2;no;30487;255;not-interested
3157;male;51;no;2;yes;50626;204;not-interested
3158;female;21;yes;1;no;30967;155;not-interested
3159;male;29;yes;1;no;30067;50;not-interested
3160;female;47;yes;2;no;34528;288;not-interested
3161;female;33;no;2;yes;2630;41;not-interested
3162;male;79;yes;2;yes;37914;83;not-interested
3163;male;34;yes;2;no;34781;101;not-interested
3164;male;65;no;2;yes;2630;65;not-interested
3165;male;44;no;2;yes;30593;261;interested
3166;female;23;yes;1;no;45776;274;not-interested
3167;male;26;yes;1;no;34999;265;not-interested
3168;male;51;no;2;yes;26602;153;not-interested
3169;male;45;yes;2;no;46418;274;not-interested
3170;female;23;no;1;yes;29687;252;not-interested
3171;female;23;yes;1;no;34397;45;not-interested
3172;male;35;no;2;no;27498;90;not-interested
3173;female;35;no;2;yes;2630;170;not-interested
3174;female;40;no;2;yes;23052;186;not-interested
3175;female;24;yes;1;no;28698;28;not-interested
3176;male;45;yes;2;no;36792;33;not-interested
3177;female;21;no;1;yes;28272;114;not-interested
3178;female;22;yes;1;no;49042;173;not-interested
3179;female;45;no;2;yes;53117;264;not-interested
3180;female;23;yes;1;no;22843;226;not-interested
3181;female;33;yes;2;no;31385;59;not-interested
3182;male;33;no;2;yes;37249;213;interested
3183;male;78;yes;2;yes;2630;157;not-interested
3184;male;50;yes;2;yes;28322;249;not-interested
3185;male;44;no;2;yes;33250;48;not-interested
3186;male;43;no;2;yes;2630;273;interested
3187;male;28;no;1;no;2630;66;not-interested
3188;male;20;no;2;yes;49925;43;not-interested
3189;male;46;no;2;yes;62959;113;not-interested
3190;female;56;yes;2;no;2630;251;not-interested
3191;male;44;yes;2;no;28959;91;not-interested
3192;male;27;yes;1;no;21125;53;not-interested
3193;female;23;yes;1;no;26345;94;not-interested
3194;male;51;yes;2;no;39549;84;not-interested
3195;male;31;no;2;yes;34822;163;not-interested
3196;male;22;no;1;yes;36229;293;not-interested
3197;male;28;no;1;yes;27844;184;not-interested
3198;female;34;no;2;yes;26139;262;not-interested
3199;male;42;no;2;yes;30897;88;not-interested
3200;male;44;no;2;yes;35526;199;not-interested
3201;male;22;yes;1;no;29415;155;not-interested
3202;male;56;no;2;yes;23067;237;not-interested
3203;male;35;no;2;yes;24326;49;not-interested
3204;male;22;no;1;no;49118;172;not-interested
3205;female;28;yes;1;no;51276;16;not-interested
3206;female;23;no;1;no;25148;181;not-interested
3207;female;28;no;1;yes;27329;163;interested
3208;female;23;no;1;no;21714;226;interested
3209;female;42;no;2;yes;40740;159;interested
3210;male;33;no;1;yes;24149;72;not-interested
3211;male;26;no;1;yes;2630;228;interested
3212;female;23;yes;1;no;32210;89;not-interested
3213;male;27;no;1;yes;31479;45;not-interested
3214;male;50;no;2;yes;34420;22;not-interested
3215;male;30;yes;1;no;32295;111;not-interested
3216;female;40;yes;2;no;30270;217;not-interested
3217;male;30;yes;1;no;48317;251;not-interested
3218;female;40;yes;2;no;2630;203;not-interested
3219;male;38;no;2;no;2630;152;not-interested
3220;female;55;yes;2;yes;2630;86;not-interested
3221;male;27;no;2;yes;25136;248;not-interested
3222;female;24;yes;1;no;37758;106;not-interested
3223;male;26;yes;1;no;48159;65;not-interested
3224;female;23;no;1;yes;28381;261;not-interested
3225;female;23;yes;1;no;29040;204;not-interested
3226;female;71;no;2;yes;62477;224;not-interested
3227;female;23;yes;1;no;47682;124;not-interested
3228;male;76;no;2;no;2630;99;not-interested
3229;female;37;no;2;yes;31157;49;not-interested
3230;female;35;no;2;yes;76146;231;not-interested
3231;male;24;yes;1;no;32242;267;not-interested
3232;female;42;no;2;yes;2630;25;not-interested
3233;male;32;yes;1;no;36159;11;not-interested
3234;female;24;yes;1;no;29404;285;not-interested
3235;male;62;yes;2;no;46681;28;not-interested
3236;female;44;no;2;no;2630;214;not-interested
3237;male;66;no;2;yes;41251;201;not-interested
3238;male;49;no;2;yes;49632;255;interested
3239;male;55;yes;2;no;18047;182;not-interested
3240;male;35;yes;2;no;54327;167;not-interested
3241;male;27;no;1;yes;34170;148;not-interested
3242;female;52;yes;2;no;32610;32;not-interested
3243;male;44;no;2;yes;2630;237;not-interested
3244;male;68;yes;2;no;25980;83;not-interested
3245;female;27;yes;1;no;28433;20;not-interested
3246;male;25;yes;1;no;2630;286;not-interested
3247;male;29;yes;1;no;34219;60;not-interested
3248;male;67;no;2;yes;50263;61;not-interested
3249;male;20;yes;1;no;35090;165;not-interested
3250;male;44;no;2;yes;46664;59;not-interested
3251;female;71;no;2;yes;36435;90;interested
3252;male;39;no;2;yes;2630;260;not-interested
3253;male;22;yes;1;no;30204;40;not-interested
3254;male;42;no;2;yes;2630;40;not-interested
3255;male;43;no;2;yes;50024;59;not-interested
3256;female;30;yes;1;no;28029;227;not-interested
3257;male;23;yes;1;no;35769;221;not-interested
3258;female;46;no;2;yes;37834;228;not-interested
3259;male;21;no;1;yes;27862;84;not-interested
3260;female;20;no;1;no;2630;53;not-interested
3261;female;25;yes;1;no;2630;72;not-interested
3262;male;56;no;2;yes;36273;236;not-interested
3263;female;22;yes;1;no;30189;199;not-interested
3264;female;23;yes;1;no;23708;214;not-interested
3265;female;40;no;3;yes;44575;88;interested
3266;male;40;yes;2;no;35883;227;not-interested
3267;male;21;yes;1;no;50788;103;not-interested
3268;male;59;yes;2;no;37782;141;not-interested
3269;female;37;no;3;yes;26073;131;not-interested
3270;female;62;no;2;yes;2630;100;not-interested
3271;female;26;yes;1;no;24742;141;not-interested
3272;female;24;yes;1;no;41467;70;not-interested
3273;male;48;no;2;yes;37925;115;not-interested
3274;male;22;yes;1;no;37691;224;not-interested
3275;male;59;no;3;yes;2630;11;not-interested
3276;male;47;no;2;yes;25211;213;not-interested
3277;female;66;no;2;yes;31983;23;interested
3278;female;45;no;2;yes;55658;245;not-interested
3279;female;25;no;1;no;29866;28;not-interested
3280;female;28;yes;1;no;2630;195;not-interested
3281;male;43;yes;2;no;39492;58;not-interested
3282;male;24;yes;1;no;35949;241;not-interested
3283;male;46;no;3;yes;2630;287;interested
3284;male;22;no;1;yes;70574;176;not-interested
3285;male;54;yes;2;no;2630;246;not-interested
3286;male;54;no;2;yes;43106;190;interested
3287;female;39;yes;2;no;24619;278;not-interested
3288;male;24;no;1;yes;22245;299;interested
3289;male;28;yes;2;yes;2630;198;not-interested
3290;female;22;yes;1;no;29273;169;not-interested
3291;female;74;no;2;yes;38125;120;not-interested
3292;male;35;yes;2;no;40797;67;not-interested
3293;female;26;yes;1;no;2630;279;not-interested
3294;male;71;no;2;yes;39270;96;not-interested
3295;female;24;yes;1;no;23505;170;not-interested
3296;male;26;yes;1;no;48019;135;not-interested
3297;male;60;no;3;yes;2630;134;not-interested
3298;female;25;yes;1;no;24204;96;not-interested
3299;male;63;no;3;yes;22017;108;interested
3300;male;21;no;1;yes;34634;240;not-interested
3301;female;34;yes;2;no;29847;292;not-interested
3302;female;22;no;1;yes;23660;42;not-interested
3303;male;44;no;2;yes;52298;66;interested
3304;female;26;yes;1;no;30764;135;not-interested
3305;female;23;no;1;no;27174;279;not-interested
3306;female;46;no;3;yes;2630;269;not-interested
3307;female;61;no;2;yes;36935;88;not-interested
3308;male;58;no;2;no;32278;265;not-interested
3309;male;25;no;1;yes;29171;297;not-interested
3310;male;50;yes;2;no;28054;291;not-interested
3311;male;55;no;2;yes;41635;172;not-interested
3312;female;47;no;2;yes;26788;152;not-interested
3313;female;23;no;1;yes;41847;267;not-interested
3314;male;23;yes;1;no;29996;34;not-interested
3315;male;67;no;3;yes;2630;46;not-interested
3316;female;26;yes;1;no;19824;98;not-interested
3317;female;46;yes;2;no;25067;118;not-interested
3318;female;25;yes;1;no;28622;258;not-interested
3319;female;27;no;1;yes;2630;36;interested
3320;male;40;no;2;yes;21396;90;interested
3321;male;24;yes;1;no;32869;294;not-interested
3322;male;28;yes;1;no;21111;95;not-interested
3323;female;36;no;2;yes;40749;160;not-interested
3324;male;33;no;2;no;2630;200;not-interested
3325;female;39;yes;2;no;40830;240;not-interested
3326;female;29;no;1;yes;35992;280;not-interested
3327;female;59;no;3;yes;95217;232;interested
3328;male;63;yes;2;no;39789;241;not-interested
3329;female;28;yes;1;no;28917;156;not-interested
3330;male;55;no;3;yes;2630;257;interested
3331;female;25;no;1;no;29015;45;not-interested
3332;female;48;no;2;yes;35568;111;not-interested
3333;male;43;no;2;yes;32945;266;not-interested
3334;male;41;no;3;yes;29990;35;not-interested
3335;female;65;no;2;yes;35533;173;not-interested
3336;female;62;no;2;yes;41804;119;not-interested
3337;male;36;no;2;no;27184;139;not-interested
3338;female;42;yes;2;no;2630;231;not-interested
3339;male;20;yes;1;no;2630;68;not-interested
3340;female;23;yes;1;no;27661;79;not-interested
3341;female;60;no;2;yes;2630;132;not-interested
3342;female;63;yes;2;yes;40310;195;not-interested
3343;male;39;no;2;yes;42429;180;interested
3344;female;46;no;2;yes;44068;71;not-interested
3345;female;44;no;2;yes;36248;297;not-interested
3346;male;50;yes;2;no;34271;258;not-interested
3347;female;22;no;1;yes;32527;104;not-interested
3348;male;44;no;2;yes;53743;146;interested
3349;male;45;no;3;yes;46023;67;interested
3350;female;47;no;2;yes;41391;192;interested
3351;female;25;yes;1;no;30606;254;not-interested
3352;male;52;no;2;yes;23042;291;not-interested
3353;female;61;no;2;yes;36556;145;not-interested
3354;female;22;yes;1;no;27003;162;not-interested
3355;female;48;yes;2;no;34743;19;not-interested
3356;male;21;no;1;yes;38585;148;not-interested
3357;female;26;yes;1;no;32208;59;not-interested
3358;male;70;no;2;yes;42883;169;not-interested
3359;male;69;no;2;yes;23819;148;not-interested
3360;male;43;no;2;yes;2630;152;not-interested
3361;male;50;yes;2;no;32220;81;not-interested
3362;male;44;no;2;yes;43063;72;interested
3363;male;27;yes;1;no;28072;258;not-interested
3364;male;28;yes;1;no;24648;62;not-interested
3365;male;75;no;2;yes;35562;291;not-interested
3366;female;23;yes;1;no;38642;298;not-interested
3367;male;24;no;1;yes;2630;288;interested
3368;male;35;no;2;no;2630;155;not-interested
3369;female;24;yes;1;no;43870;150;not-interested
3370;male;27;yes;1;no;22683;110;not-interested
3371;female;43;no;2;yes;40526;42;interested
3372;male;27;yes;1;no;33138;263;not-interested
3373;female;20;no;1;yes;32111;85;not-interested
3374;female;23;no;1;yes;39457;61;not-interested
3375;female;35;yes;2;no;37719;149;not-interested
3376;male;21;no;1;yes;25694;216;not-interested
3377;female;41;no;2;yes;42488;148;not-interested
3378;male;22;no;1;no;29955;187;not-interested
3379;male;59;yes;2;no;27045;184;not-interested
3380;male;44;no;2;yes;42629;298;not-interested
3381;female;30;no;1;no;32815;141;not-interested
3382;male;29;yes;1;no;2630;192;not-interested
3383;male;25;yes;1;no;2630;167;not-interested
3384;female;29;yes;1;no;2630;152;not-interested
3385;female;22;yes;1;no;35107;25;not-interested
3386;female;44;no;2;yes;44198;232;not-interested
3387;male;45;no;3;yes;38501;297;not-interested
3388;male;42;no;2;yes;35217;64;not-interested
3389;male;38;no;2;no;27212;146;not-interested
3390;male;23;yes;1;no;43758;176;not-interested
3391;male;21;yes;1;no;31723;196;not-interested
3392;male;52;no;2;yes;49469;209;not-interested
3393;male;53;no;3;yes;37613;33;not-interested
3394;female;40;no;2;yes;2630;228;not-interested
3395;female;22;yes;1;no;31173;13;not-interested
3396;male;45;yes;2;no;64325;277;not-interested
3397;male;24;yes;1;no;36367;151;not-interested
3398;female;23;no;1;yes;22473;161;not-interested
3399;female;52;no;3;yes;35245;131;interested
3400;female;22;yes;1;no;34450;39;not-interested
3401;male;40;no;2;yes;2630;289;not-interested
