Tom has two girlfriends.	Tom tiene dos novias.
Don't fight.	No os peleeis.
He assigned me three books to read.	El me dejo tres libros para leer.
Are you joking?	¿Estas bromeando?
Tom asked me if I had already paid the bill.	Tom me pregunto si ya habia pagado la cuenta.
When will the party take place?	¿Cuando se celebrara la fiesta?
Washington is the capital of the United States.	Washington es la capital de los Estados Unidos.
Tom went with Mary to the museum.	Tom fue al museo con Mary.
I wish they would stop fighting.	Desearia que ellos dejaran de pelear.
The teacher made me repeat the sentence.	El profesor me hizo repetir la oracion.
Doesn't he just get on your nerves?	¿Acaso no te saca de tus casillas?
This is something I have to do.	Es algo que tengo que hacer.
I saw him in the park.	Le vi en el parque.
I thought you said you liked to try new things.	Pense que habias dicho que te gustaba probar cosas nuevas.
Are there any students from Korea in your class?	¿Hay estudiantes de Corea en tu curso?
Tom ate a piece of the cake that Mary baked.	Tom se comio un trozo de la torta que Maria habia horneado.
I would've liked that.	Me hubiera agradado.
I can't stay here.	No me puedo quedar aqui.
The grass is always greener on the other side of the fence.	El pasto del vecino es mas verde.
Tom didn't see Mary anywhere.	Tom no vio a Mary por ningun lado.
I really need to go.	Realmente tengo que irme.
It's not easy to quit smoking.	No es facil dejar de fumar.
Let's do it again.	Hagamoslo de nuevo.
Sometimes people make wrong decisions.	A veces la gente toma decisiones equivocadas.
I know you like sports.	Se que te gustan los deportes.
To be happy, you should spend time with someone you love.	Para ser feliz, deberias pasar el tiempo con alguien a quien quieras.
The girl imagines that she is a doctor.	La nina se imagina que es doctora.
I am short of money.	Ando escaso de fondos.
I support the proposal.	Apoyo la propuesta.
I don't remember where I put my key.	No me acuerdo donde puse mi llave.
As for me, I have no objection.	En cuanto a mi, no tengo objecion.
You're not poor.	No eres pobre.
Pick out the shirt that you like best.	Escoja la camisa que mas le guste.
I am disappointed that my friends are not here.	Me decepciona que mis amigos no esten aqui.
It's a simple job.	Es una simple tarea.
Living in the town is quite different from living in the country.	Vivir en la ciudad es bastante diferente que vivir en el campo.
Do we have any more beer?	¿Tenemos mas cerveza?
This may not be true.	Puede que esto no sea verdad.
He got in with a shotgun in his hands.	El se subio con una escopeta en las manos.
The policeman grabbed the robber's arm.	El policia agarro al ladron por el brazo.
I first met him three years ago.	Me encontre con el por primera vez hace tres anos.
My father hates the summer heat.	Mi padre odia el calor del verano.
Thank you very much, doctor.	Muchas gracias, doctor.
Our native language is Japanese.	Nuestra lengua materna es el japones.
Someone has stolen my tennis racket.	Alguien ha robado mi raqueta de tenis.
Mom bought a pretty doll for me.	Mi mama me compro una bonita muneca.
There are no gods.	Los dioses no existen.
I will pay for it by check.	Lo pagare con cheque.
I don't think your name's Tom.	No creo que te llames Tom.
How's the work going?	¿Como va el trabajo?
I was afraid I'd be late.	Temia llegar tarde.
I feed my dog twice a day.	Doy de comer a mi perro dos veces al dia.
We meet here once a month.	Nosotros nos encontramos aqui una vez al mes.
Dentists take x-rays to examine your teeth.	Los dentistas toman rayos x para examinar tus dientes.
I fixed the car yesterday.	Arregle el auto ayer.
Let's send Tom a Christmas card this year.	Vamos a mandarle a Tom una tarjeta de Navidad este ano.
I usually gas up the car at this service station.	Yo normalmente lleno el coche en esta estacion de servicio.
He pretended to be my friend.	El fingio ser mi amigo.
My father plays the piano and so does my mother.	Mi padre toca el piano y mi madre tambien.
My father is busy.	Mi padre esta ocupado.
Bear with me.	Se paciente conmigo.
When was the last time you had a nap?	¿Cuando fue la ultima vez que te tomaste una siesta?
Help me!	Ayudame.
Tom has a modest two-bedroom house in Boston.	Tom tiene una casa modesta con dos dormitorios en Boston.
You're a sight for sore eyes.	Eres un paisaje para los sentidos.
I'm just watching television.	Solo estoy viendo la tele.
Do you want to send a message?	¿Queres mandar un mensaje?
I'm blind.	Soy ciega.
We met today.	Nos encontramos hoy.
I’ve known him for ten years.	Yo lo conozco de hace diez anos.
I'm trying to meditate.	Estoy intentando meditar.
Tom is blind in one eye.	Tom es ciego de un ojo.
Is Tom mad at us?	¿Esta Tom enojado con nosotros?
There's somebody here.	Hay alguien aqui.
When did all this happen?	¿Cuando paso todo esto?
He is a type of a person who calls a spade a spade.	El es un tipo de persona que llama a las cosas por su nombre.
Tom didn't die in a car accident.	Tom no fallecio por un accidente de coche.
Don't forget to write me.	No te olvides de escribirme.
This country is rich in coal.	Este pais es rico en carbon.
Not all of the staff was present.	No todos los miembros estaban presentes.
I just want a clear answer.	Solo quiero una respuesta clara.
I saw the car hit a man.	Vi al coche golpear a un hombre.
He's my younger brother.	El es mi hermano pequeno.
We will have much fun.	Vamos a divertirnos mucho.
Guess where I've been.	Adivinen donde estuve.
Tom narrowly escaped being hit.	Tom escapo del golpe por los pelos.
I'm kind of sleepy, too.	Pues yo tambien tengo sueno.
He acted like a lunatic.	El actuo como un demente.
What are you up to?	¿Que estas haciendo?
You didn't need to come.	No tenias para que venir.
You should follow your doctor's advice.	Deberias seguir el consejo del medico.
India was governed by Great Britain for many years.	India fue gobernada por Reino Unido durante muchos anos.
I visit him every other day.	Le visito cada dos dias.
Will she come home at five?	¿Volvera ella a casa a las cinco?
The gardener planted a rose tree in the middle of the garden.	El jardinero sembro un rosal en medio del jardin.
The countdown has started.	La cuenta atras ha comenzado.
It's rush hour.	Es la hora pico.
He went to Paris, where he lived for five years.	El se fue a Paris, donde vivio durante cinco anos.
Try this on. It's your size.	Pruebese esta. Es de su talla.
Don't be so noisy, please.	No hagas tanto ruido, por favor.
He took a book from the shelf.	El tomo un libro de la estanteria.
Do you understand?	¿Entiende?
If it had not been for your help, he would have been ruined.	De no haber sido por tu ayuda, el hubiera estado arruinado.
This is fundamentally unfair.	Esto es fundamentalmente injusto.
Please turn on the TV.	Enciende la television, por favor.
I have several friends who speak French well.	Tengo varios amigos que hablan bien frances.
Let's go out for a walk.	Vamonos a dar un paseo.
The king reigned over the island.	El rey reino sobre la isla.
She asked him to leave and take all his belongings.	Le pidio que se fuera y se llevara todas sus pertenencias.
How about giving me a promotion from just-a-friend to boyfriend?	¿Que tal si me asciendes de solo amigo a novio?
The answer is yes.	La respuesta es si.
I was born on October 10th, 1972.	Yo naci el 10 de octubre de 1972.
I'm not going to ask Tom for anything.	No le pedire nada a Tom.
We don't trust Tom.	No confiamos en Tom.
She avoided him whenever possible.	Ella lo evitaba siempre que era posible.
Tom has grown in strength.	Tom se ha vuelto mas fuerte.
Yesterday, my wheelbarrow was stolen.	Ayer me robaron mi carretilla.
I have an interest in cello and piano.	Me interesan el chelo y el piano.
Tom is checking his mailbox.	Tom esta revisando su buzon.
Give me half.	Deme la mitad.
I can't stop thinking about that.	No puedo parar de pensar en ello.
Monday is a difficult day.	El lunes es un dia dificil.
That's what I need to find out.	Eso es lo que necesito averiguar.
I said you could go.	Dije que podia ir.
I think I understand.	Creo que lo entiendo.
Tom couldn't conceal the truth from Mary.	Tom no podia ocultarle la verdad a Maria.
The muddy road has ruined my new shoes.	La carretera enfangada ha destrozado mis zapatos.
What are you trying to hide?	¿Que intentas ocultar?
Is there any risk of being caught by the police?	¿Hay algun riesgo de ser atrapado por la policia?
It's my CD.	Es mi CD.
The girl who is dressed in white is my fiancee.	La chica vestida de blanco es mi prometida.
I won't fail this time.	Esta vez no fracasare.
She looked in her bag for the key of the house, but could not find it.	Ella busco las llaves de la casa en su cartera, pero no las encontro.
What kind of ice cream do you like?	¿Que tipo de helado te gusta?
She had nothing to say about it.	Ella no tenia nada que decir sobre eso.
Tom hung out with his friends last night.	Tom se fue con sus amigos anoche.
I haven't eaten for days.	No he comido en varios dias.
He promised me that he would come at four.	El me prometio que vendria a las cuatro.
He lied to me.	El me mintio.
Do you like that song?	¿Te gusta esta cancion?
Don't ask me anything.	No me preguntes nada.
Don't buy things on credit.	No compres cosas a credito.
She was happy with the new dress.	Ella estaba feliz con el vestido nuevo.
If I die, I want you to keep this ring.	Si muero, quiero conservar este anillo.
Are you tired now?	¿Estas ahora cansado?
He will be free tomorrow.	Manana sera libre.
I'm a US citizen.	Soy un ciudadano de los Estados Unidos.
Tom suddenly felt like he was going to faint.	Tom sintio de repente como si se fuera a desmayar.
He likes me and I like him too.	Le gusto, y el a mi.
You must apologize to her, and do it at once.	Debes pedirle perdon, y hacerlo de inmediato.
As soon as I sat down, I fell asleep.	En cuanto tome asiento, cai dormido.
Can he speak Japanese?	¿Habla japones?
There is a Picasso on the wall.	Hay un Picasso en la pared.
Where was it that you found this key?	¿Donde fue que encontraste esta llave?
Tom reserved a seat.	Tom reservo un asiento.
A stewardess was rescued from the wreck.	Una camarera fue rescatada del naufragio.
They ate healthier foods.	Ellos comieron comidas mas sanas.
Cheer up! Things are not as bad as you think.	¡Animo! No es tan malo como piensas.
Tom asked for a loan from Mary.	Tom le pidio un prestamo a Mary.
Why don't you accept that?	¿Por que no lo aceptas?
A true friend would not say such a thing.	Un verdadero amigo no diria una cosa asi.
Come anytime.	Ven cuando quieras.
No one knows his address but Tom.	Nadie excepto Tom conoce su direccion.
Is the place clean?	¿Esta limpio el lugar?
How can you be so naive?	¿Como pueden ser tan ingenuos?
How much did you pay?	¿Cuanto pago?
I wanted to introduce you to Tom.	Queria presentarte a Tom.
I understand this.	Lo comprendo.
He did a great job.	Hizo un gran trabajo.
I hope you like this place.	Espero que te guste este lugar.
That isn't my problem.	Eso no es problema mio.
He had nothing to say, so he went away.	El no tenia nada que decir, asi que se retiro.
Tom glared at Mary with hatred and disgust.	Tom miro sostenidamente a Mary con odio y asco.
I've been here since Monday.	Llevo aqui desde el lunes.
I've never seen Tom so disappointed.	Nunca vi a Tom tan decepcionado.
I was born in 1988 in York.	Naci en York en 1988.
You can start right now.	Puedes empezar ahora mismo.
I'm really angry.	Estoy realmente enojado.
I am sure of his accepting our invitation.	Estoy seguro de que aceptara nuestra invitacion.
Eat what you want.	Coma lo que quiera.
I should have taken the doctor's advice.	Deberia haber hecho lo que me dijo la medica.
Do you like tennis?	¿Te gusta el tenis?
Everyone prayed.	Todos oraron.
Tom and Mary were also in the car.	Tom y Maria tambien estaban en el auto.
Tom wants to eat with us.	Tom quiere comer con nosotros.
It only took us fifteen minutes to complete the job.	Solo nos tomo quince minutos terminar la labor.
Her kindness touched me.	Su gentileza me conmovio.
He thanked me for the gift.	Me agradecio por el regalo.
Things got out of hand.	Las cosas se salieron de control.
We have to put the piano on its side in order to get it in.	Hay que poner el piano de lado para que entre.
Thanks for the pizza.	Gracias por la pizza.
I visit my parents every Sunday without fail.	Visito a mis padres todos los domingos sin excepcion.
Knock on the door before entering the room.	Golpea la puerta antes de entrar a la pieza.
The dog was wagging his tail.	El perro estaba moviendo la cola.
Can you get up?	¿Puedes levantarte?
Her first appearance on the stage was in 1969.	Su debut en el escenario fue en 1969.
Japan depends on Arab countries for oil.	Japon depende de los paises arabes para el petroleo.
She gave him a nice present.	Le dio un bonito regalo.
Your time is up.	Se te acabo el tiempo.
The post office isn't too far from here.	La oficina de correos no esta demasiado alejada de aqui.
It's not far to Boston.	No esta lejos de Boston.
They were extremely excited.	Ellos estaban muy emocionados.
It was Tom that saved the girl.	Fue Tom quien salvo a esta chica.
I might not do that.	Creo que no lo hare.
As far as I know, there were no problems during the first semester.	Hasta donde yo se, no hubo problemas durante el primer semestre.
Tom is learning to write programs in JavaScript.	Tom esta aprendiendo a escribir programas en JavaScript.
Tom didn't know how to read music.	Tom no sabia leer musica.
What kind of person would do that kind of thing?	¿Que clase de persona haria una cosa asi?
Tom wrote to Mary.	Tomas le escribio a Maria.
Tom fell asleep on the couch.	Tom se quedo dormido sobre el sillon.
I want to find out what caused the problem.	Quiero averiguar que ocasiono el problema.
We didn't want to worry you.	No queriamos preocuparte.
We set a trap to catch a fox.	Pusimos una trampa para capturar a un zorro.
Why are you angry with me?	¿Por que estais enfadados conmigo?
Tom admitted that he had been defeated.	Tom admitio haber sido derrotado.
Tom had some trouble finding Mary's house.	Tom tuvo algunos problemas para encontrar la casa de Mary.
I want you out of my house.	Te quiero fuera de mi casa.
I'm nervous, too.	Yo tambien estoy nervioso.
It's there now.	Ahora esta ahi.
I watch television.	Estoy viendo la television.
He saves what he earns.	El ahorra lo que gana.
Tom doesn't believe me.	Tom no me cree.
I am a teacher.	Yo soy profesor.
If you really want to know, why don't you ask Tom?	Si realmente quieres saber, ¿por que no le preguntas a Tom?
I need to make sure Tom gets paid.	Necesito asegurarme que le paguen a Tom.
Do snakes bother you?	¿Te perturban las serpientes?
Don't be afraid to try new things.	No tenga miedo de experimentar cosas nuevas.
Do it Monday.	Hazlo el lunes.
Tom can't eat peanuts.	Tom no puede comer mani.
You lied to me.	Me mentiste.
You know everything.	Tu conoces todo.
Who are you hiding from?	¿De quien te estas escondiendo?
Tom wondered what Mary was doing here.	Tom se preguntaba que hacia Maria aqui.
That's immoral.	Eso es inmoral.
Tom doesn't like this.	A Tom no le gusta esto.
Tom stood up and followed Mary out of the office.	Tom se paro y siguio a Maria saliendo de la oficina.
Tom didn't know that the bridge was closed.	Tom no sabia que el puente estaba cerrado.
The meaning of this sentence is ambiguous.	El sentido de esta frase es ambiguo.
This is the biggest cat that I've ever seen.	Este es el gato mas grande que he visto jamas.
This book is too large to go in my pocket.	Este libro es muy grande para ponerlo en mi bolsillo.
My friend is Indian.	Mi amigo es indio.
I know the problem.	Conozco el problema.
His dad calls him Tom.	Su padre lo llama Tom.
Your demands are unreasonable.	Tus demandas son irrazonables.
The sky will soon clear.	El cielo se abrira pronto.
I've lost my dignity.	He perdido mi dignidad.
When was the last time we met?	¿Cuando fue la ultima vez que nos vimos?
He came to Japan when he was a child.	Llego a Japon de pequeno.
Tom finished the job in three hours.	Tom termino el trabajo en tres horas.
You've got a black eye.	Tienes un ojo morado.
The ball rolled across the lawn.	La pelota rodo por el pasto.
I was surprised at his strong resemblance to his father.	Me sorprendio el gran parecido que tenia con su padre.
This is the first time I've played this game.	Esta es la primera vez que he jugado este juego.
It was Tom who stabbed Mary.	Fue Tomas el que acuchillo a Maria.
We climbed up the steep mountain.	Escalamos la empinada montana.
Is there something that you want?	¿Hay algo que quieras?
In February it snows at least every three days.	En febrero nieva como minimo cada tres dias.
Keep looking.	Sigue mirando.
Let's play cards.	Juguemos a las cartas.
He was able to reduce taxes.	El pudo reducir los impuestos.
From my position, I cannot see the tower.	No puedo ver la torre desde mi posicion.
She gave him something cold to drink.	Ella le dio algo frio para beber.
What did Tom have in his pocket?	¿Que tenia Tom en el bolsillo?
Dinner will be ready when you arrive.	La cena estara lista cuando llegues.
This book isn't as easy as that one.	Este libro no es tan facil como aquel.
The little kids were very curious.	Los ninos pequenos eran muy curiosos.
We'll eat lunch after we get home.	Todos almorzaremos despues de llegar a la casa.
I took my temperature every six hours.	Tome mi temperatura cada seis horas.
Where's the toothpaste?	¿Donde esta la pasta de dientes?
Tell me the reason why he was fired.	Explicame la razon por la que el fue despedido.
Next thing you know, you'll be in the papers.	Antes de que te des cuenta, saldras en los periodicos.
It was like watching a slow motion movie.	Era como ver una pelicula en camara lenta.
They had a pillow fight.	Tuvieron una pelea de almohadas.
She shouted to him, but he didn't hear her.	Ella le grito, pero el no la oyo.
There were some flowers there.	Habia algunas flores alli.
The boy was accompanied by his parents.	El nino iba acompanado por sus padres.
It's important for today's young people to study English.	Es importante para los jovenes de hoy el estudiar ingles.
She was ready to give him back all his money.	Ella estaba dispuesta a devolverle a el todo su dinero.
She doesn't like going to school.	A ella no le gusta ir a la escuela.
He accused the man of stealing.	Acuso al hombre de haber robado.
May I use this pencil?	¿Puedo usar este lapiz?
I have to go shopping. I will come back in an hour.	Tengo que ir de compras. Estare de vuelta en una hora.
I thought we'd have fun together.	Pense que nos divertiriamos juntos.
My father doesn't approve of her.	Mi padre no la acepta.
Who else uses this room?	¿Quien mas usa este cuarto?
It hardly ever rains here.	Dificilmente llueve aca.
Give me a ring if you find out anything.	Llamadme si descubris algo.
I thought it was cute.	Pense que era lindo.
Dogs wag their tails and cats swish theirs.	Los perros menean la cola y los gatos la balancean.
Are you ready for the trip?	¿Estan listos para el viaje?
It's a little late for prayer.	Es un poco tarde para plegarias.
Tom doesn't really like Mary all that much.	A Tom en realidad no le gusta tanto Mary.
Get on the horse.	Subete al caballo.
She loved him with all her heart.	Ella lo amo con toda su alma.
The sad story moved us to tears.	La triste historia nos hizo llorar.
I know that you all are cowards.	Se que todos ustedes son unos cobardes.
He paid his loan back to the bank.	El devolvio al banco su deuda.
Do you think Tom is untidy?	¿Crees que Tom es desordenado?
I didn't go anywhere during the holiday.	No fui a ninguna parte durante las vacaciones.
Do you want me to bring you anything?	¿Queres que te traiga algo?
They know me.	Ellos me conocen.
They were chosen at random.	Fueron elegidos al azar.
Tom doesn't want to buy anything for Mary's birthday.	Tom no quiere comprar nada para el cumpleanos de Mary.
Tom is signing documents.	Tom esta firmando documentos.
She met him this morning.	Ella se encontro con el esta manana.
What I do is my problem.	Lo que yo haga es mi problema.
Does Tom wear glasses?	¿Tom usa lentes?
Why isn't it working?	¿Por que no funciona?
I bought a good camera.	Me compre una buena camara.
I can't believe that you wouldn't enjoy playing cards with me and my friends.	No puedo creer que no la hayas pasado bien jugando cartas conmigo y mis amigos.
Is this the first time for you to have Japanese food?	¿Es la primera vez que tomas comida japonesa?
What's that in your hands?	¿Que tienes en las manos?
I usually get up at six.	Yo normalmente me levanto a las seis.
Where's the cat?	¿Donde esta el gato?
I can't stand him.	No le trago.
Tom watched them carefully.	Tom los observo cuidadosamente.
Tom must be proud of himself.	Tom debe estar orgulloso de si mismo.
I'm older than you.	Soy mayor que tu.
Tom is always very nice.	Tomas siempre es muy agradable.
Tom locked the door after he entered his apartment.	Tom le puso llave a la puerta despues de entrar a su departamento.
I like writing.	Me gusta la escritura.
I require advice.	Necesito que me aconsejen.
Tom didn't expect Mary to show up on time.	Tom no esperaba que Mary apareciera a tiempo.
That is why he got angry.	Por eso se enfado.
Dad is a hard worker.	Papa es un hombre que trabaja duro.
My friend only eats organic food.	Mi amigo solo come comida organica.
I should've thought of this before.	Deberia haber pensado antes en ello.
We danced all night long.	Bailamos toda la noche.
Five miles is a long distance to walk.	8 kilometros es mucho para caminarlo.
The fact that it's expensive doesn't mean that it's any good.	El hecho de que sea caro no significa que sea bueno.
I'm sorry, my boss is sleeping right now. Please come back tomorrow.	Lo lamento, en este momento mi jefe esta durmiendo. Por favor, vuelva manana.
Tom sleeps with his window open, no matter how cold it is.	Tom duerme con su ventana abierta, sin importarle el frio que haga.
Do you like school?	¿Te gusta la escuela?
I finally found a use for this old thing.	Finalmente le halle un uso a este vejestorio.
I saw somebody steal the merchandise.	Vi a alguien robar la mercancia.
It's up to you to decide whether we'll go there or not.	Depende de ti decidir si vamos alli o no.
I sold the car.	Vendi el auto.
I wonder whether Tom could help us.	Me pregunto si Tom pudiera ayudarnos.
The day after tomorrow is Tom's birthday.	Pasado manana es el cumpleanos de Tom.
Don't treat me like a child.	No me trates como si fuera un nino.
Does Tom have what it takes?	¿Tom tiene lo que hace falta?
It's not going to rain tonight.	No va a llover esta noche.
I was just here yesterday.	Estuve aqui apenas ayer.
He didn't say in which year he was born.	El no dijo en que ano nacio.
This is the end.	Este es el fin.
He banged his head.	Se pego en la cabeza.
Tom opened his mouth.	Tom abrio la boca.
I went to the zoo.	Fui al zoo.
He's your typical workaholic.	Es el tipico adicto al trabajo.
You're a philosopher, aren't you?	Usted es filosofo, ¿verdad?
Money isn't everything, but if you have no money, you can't do anything.	El dinero no lo es todo, pero si no tienes dinero no puedes hacer nada.
I'm not a violent person.	No soy una persona violenta.
Tom knows how much Mary loves him.	Tom sabe cuanto lo ama Maria.
Is this enough money?	¿Es esto suficiente dinero?
Take whichever of these you want.	Toma el que quieras de cualquiera de estos.
We know.	Lo sabemos.
Did you vote yet?	¿Ya has votado?
Tom gets drunk almost every evening.	Tom se emborracha casi todas las noches.
We can't go home yet.	Aun no podemos volver a casa.
I want to make sure you're safe.	Quiero asegurarme de que estes a salvo.
Do you like to listen to classical music?	¿Te gusta escuchar musica clasica?
Do you know anything about training dogs?	¿Sabes algo sobre como entrenar perros?
Is your trunk locked?	¿Tienes el maletero cerrado?
It's not as easy as you think.	No es tan facil como piensas.
Come with us.	Ven con nosotras.
Tom is three years older than Mary is.	Tom es tres anos mayor que Mary.
We must hurry or else the shop will be closed.	Tenemos que darnos prisa no sea que cierren la tienda.
Is Tom big?	¿Es grande Tom?
He is lying.	El esta mintiendo.
She felt happy to see him.	Ella se alegro de verlo.
What has become of the book I put here yesterday?	¿Que le paso al libro que deje aqui ayer?
The boy acknowledged having lied.	El chico reconocio haber mentido.
Bok choy is a vegetable used in Chinese cooking.	El Bok Choy es una verdura usada en la cocina china.
No one believed what you said.	Nadie creyo lo que dijiste.
I don't go to school on Sunday.	No voy a la escuela en domingo.
For more information, get in touch with us.	Para mas informacion, pongase en contacto con nosotros.
You shouldn't have said that.	No deberias haberlo dicho.
I wonder whether or not Tom has already left.	¿Tom se habra marchado ya?
The boy is wearing glasses.	El chico lleva gafas.
She doesn't have many friends in this town.	Ella no tiene amigos en esta ciudad.
I'm taking a bath.	Me voy a dar un bano.
The trip was really fun.	El viaje fue verdaderamente divertido.
He held her tightly.	El la sostuvo firmemente.
The room is at the end of the hall.	La habitacion esta al final del salon.
The same thing applies to me.	La misma cosa aplica para mi.
Is eating healthy more costly?	¿Es mas caro comer saludable?
The world economy will not recover anytime soon.	La economia mundial no se recuperara en poco tiempo.
I can understand your point of view.	Entiendo tu punto de vista.
Are you afraid of me?	¿Me tienes miedo?
I cannot read without glasses.	Sin gafas no puedo leer.
I want to study with the same French teacher that Tom is studying with.	Quiero estudiar con el mismo profesor de frances con el que Tom esta estudiando.
This is the official website.	Este es el sitio oficial.
Tom went to Japan to study Japanese.	Tom fue a Japon a estudiar japones.
The royal wedding was a magnificent occasion.	La boda real fue un evento magnifico.
A ceasefire was declared.	Se declaro un alto al fuego.
The ring was nowhere to be found.	El anillo no aparecia en ninguna parte.
You desperately need a vacation.	Necesitas urgentemente unas vacaciones.
He didn't do any work.	El no hizo ningun trabajo.
Is this data accurate?	¿Son ciertos estos datos?
Tom is strong.	Tom es fuerte.
Nobody saw Tom do it.	Nadie vio a Tom haciendolo.
He dozed off.	Se quedo dormido.
I prefer going on foot to going by bus.	Prefiero ir a pie que ir en autobus.
She gave me a pretty doll.	Ella me dio una bonita muneca.
I got a long letter from my folks.	Recibi una larga carta de mis padres.
How do you do this?	¿Como lo haceis?
Do you drink wine?	¿Ustedes beben vino?
I walked around in the field.	Di vueltas por el campo.
They live two flights up.	Viven dos pisos mas arriba.
There are no people who don't desire peace.	No hay nadie que no desee la paz.
Do you believe in ghosts?	¿Cree usted en los fantasmas?
I have a right to make a living.	Tengo derecho a ganarme la vida.
The ship set sail.	La nave zarpo.
Tom gave Mary some flowers he'd picked.	Tom le regalo a Mary unas flores que habia recogido.
She served me coffee.	Ella me sirvio cafe.
Why is it so hot?	¿Por que hace tanto calor?
Let's not talk about your job tonight.	Mejor no hablemos de trabajo esta noche.
Tom is happy again.	Tom es feliz otra vez.
It would've been better if we hadn't done that.	Hubiese sido mejor si no hubiesemos hecho eso.
I didn't see you at the party the other night.	No te vi en la fiesta la otra noche.
I don't want to have to listen to Tom sing that song again.	No quiero tener que escuchar a Tom cantando esa cancion otra vez.
My film has run out.	Se me acabo el rollo.
There's a problem with the air conditioner.	Hay un problema con el aire acondicionado.
He played an important role on the committee.	El jugaba un rol importante en el comite.
Strange to say, I dreamed the same dream twice last night.	Aunque suene extrano, anoche tuve el mismo sueno dos veces.
Can you explain it to me?	¿Me lo podrias explicar?
I cannot pray now.	No puedo rezar ahora.
Prices are higher here than in Australia.	Los precios son mas altos aqui que en Australia.
Tom is with his friends.	Tom esta con sus amigos.
Do you think money will buy her happiness?	¿Crees que el dinero comprara su felicidad?
They won the lottery.	Ellos se ganaron la loteria.
Tom shut himself up in his bedroom.	Tom se encerro en su cuarto.
Do you want to see?	¿Queres ver?
I was there once.	Estuve alla una vez.
I wanted to be there.	Yo queria estar ahi.
I'm free.	Yo soy libre.
He made the children laugh.	Hizo reir a los ninos.
I think I have a fever.	Creo que tengo fiebre.
What do you intend to do?	¿Que tiene pensado hacer?
Tom was reading a letter written in French.	Tom estaba leyendo una carta escrita en frances.
I'd just like to give you a little history about our project.	Solo quisiera contarte una pequena historia acerca de nuestro proyecto.
Tom and Mary have never been close friends.	Tom y Maria nunca fueron amigos cercanos.
Don't speak French to me.	No me hables en frances.
Tom changed clothes.	Tom se cambio de ropa.
Tom does impersonations of famous people.	Tom hace imitaciones de famosos.
Would you tell me the time, please?	Por favor, ¿puede decirme que hora es?
Tom is sleeping, isn't he?	Tom esta durmiendo, ¿no?
He handed me the letter and left.	Me entrego la nota y se fue.
He needs something to drink.	Necesita algo de beber.
He wrote this novel at twenty.	El escribio esta novela a los 20 anos.
It really depends on when.	Todo depende de cuando.
Why does the US government let people have guns?	¿Por que el gobierno de Estados Unidos deja que la gente tenga armas?
We arrived first.	Llegamos primero.
What's your favorite free iPad app?	¿Cual es tu aplicacion gratuita para iPad favorita?
Tom forgot to lock the front door.	Tom olvido ponerle llave a la puerta del frente.
She was envious of her cousin's success.	Ella envidiaba el exito de su primo.
Tom might have cancer.	Tom posiblemente tenga cancer.
Tom didn't believe what Mary told him.	Tom no creyo lo que Mary le conto.
Tom knows those rules.	Tom conoce esas reglas.
Is he Malaysian?	¿Es el malayo?
I can't believe Tom remembers me.	No puedo creer que Tom se acuerde de mi.
She's the closest thing to family he has.	Ella es lo mas cercano que tiene a una familia.
I don't know what I want.	No se que quiero.
I haven't eaten for days.	No he comido durante dias.
I'll join you later.	Me reunire con ustedes mas tarde.
Tom is happy when he is with Mary.	Tom es feliz cuando esta con Mary.
Tom said that you wanted to see me.	Tom dijo que querias verme.
Who's the woman with the red hat?	¿Quien es la senora del sombrero rojo?
I'm good at playing the piano.	Soy bueno tocando el piano.
You have twice dared to contradict me in front of the commissioner.	Usted se atrevio a contradecirme dos veces ante el Comisario.
We need an ambulance.	Necesitamos una ambulancia.
Do you have a moment?	¿Teneis un minuto?
That dress matches her red hair.	Ese vestido combina con su cabello pelirrojo.
Is she healthy?	¿Esta sano?
He slipped on the ice.	El se resbalo en el hielo.
Tom asked me if I was sleepy.	Tom me pregunto si tenia sueno.
You should always wear a seat belt when you are riding in a car.	Deberias llevar siempre puesto el cinturon de seguridad cuando vas en el coche.
Please do something.	Por favor, haga algo.
My washing machine broke.	Mi lavarropas se rompio.
Tom asked Mary for something hot to drink.	Tom le pidio a Mary algo caliente para beber.
He will be very busy next month.	El estara muy ocupado el mes que viene.
This car is as good as new.	Este coche el igual que uno nuevo.
I haven't been able to get enough sleep lately.	Ultimamente no he podido dormir lo suficiente.
Has Tom been doing his chores?	¿Ha estado Tom haciendo sus labores?
I'm feeling a little blue today.	Me siento un poco triste hoy.
I know you're hiding something.	Se que estas ocultando algo.
I was born on the 22 of November 1948.	Naci el 22 de noviembre de 1948.
Tom has much more experience than Mary does.	Tom tiene mucha mas experiencia que Mary.
I don't want to wait so long.	No quiero esperar tanto.
Tom was sick, so he couldn't come.	Tom estaba enfermo, asi que no pudo venir.
I didn't cheat.	No hice trampas.
Why do you want to know that?	¿Por que quieres saber eso?
Keep the secret.	Guarda el secreto.
Believe it or not, that is true.	Lo creas o no, eso es verdad.
I used to swim here every day.	Solia nadar aqui todos los dias.
Tom is good at handball.	A Tomas se le da bien el balonmano.
In the United States, a census takes place every ten years.	En los Estados Unidos tiene lugar cada diez anos un censo.
I don't like my job.	No me gusta mi trabajo.
She approved of my plan.	Ella aprobo mi plan.
Please bring me two pieces of chalk.	Por favor traigame dos tizas.
Why does she look so sad?	¿Por que ella se ve tan triste?
Let's meet again soon.	Veamonos de nuevo pronto.
He prided himself on his self control.	El estaba orgulloso de su propio auto-control.
