Tom has two girlfriends.	Tom tiene dos novias.
They had a pillow fight.	Tuvieron una pelea de almohadas.
She shouted to him, but he didn't hear her.	Ella le grito, pero el no la oyo.
There were some flowers there.	Habia algunas flores alli.
The boy was accompanied by his parents.	El nino iba acompanado por sus padres.
It's important for today's young people to study English.	Es importante para los jovenes de hoy el estudiar ingles.
She was ready to give him back all his money.	Ella estaba dispuesta a devolverle a el todo su dinero.
She doesn't like going to school.	A ella no le gusta ir a la escuela.
He accused the man of stealing.	Acuso al hombre de haber robado.
May I use this pencil?	¿Puedo usar este lapiz?
I have to go shopping. I will come back in an hour.	Tengo que ir de compras. Estare de vuelta en una hora.
I thought we'd have fun together.	Pense que nos divertiriamos juntos.
My father doesn't approve of her.	Mi padre no la acepta.
Who else uses this room?	¿Quien mas usa este cuarto?
It hardly ever rains here.	Dificilmente llueve aca.
Give me a ring if you find out anything.	Llamadme si descubris algo.
I thought it was cute.	Pense que era lindo.
Dogs wag their tails and cats swish theirs.	Los perros menean la cola y los gatos la balancean.
Are you ready for the trip?	¿Estan listos para el viaje?
It's a little late for prayer.	Es un poco tarde para plegarias.
Tom doesn't really like Mary all that much.	A Tom en realidad no le gusta tanto Mary.
Get on the horse.	Subete al caballo.
She loved him with all her heart.	Ella lo amo con toda su alma.
The sad story moved us to tears.	La triste historia nos hizo llorar.
I know that you all are cowards.	Se que todos ustedes son unos cobardes.
He paid his loan back to the bank.	El devolvio al banco su deuda.
Do you think Tom is untidy?	¿Crees que Tom es desordenado?
I didn't go anywhere during the holiday.	No fui a ninguna parte durante las vacaciones.
Do you want me to bring you anything?	¿Queres que te traiga algo?
They know me.	Ellos me conocen.
They were chosen at random.	Fueron elegidos al azar.
Tom doesn't want to buy anything for Mary's birthday.	Tom no quiere comprar nada para el cumpleanos de Mary.
Tom is signing documents.	Tom esta firmando documentos.
She met him this morning.	Ella se encontro con el esta manana.
What I do is my problem.	Lo que yo haga es mi problema.
Does Tom wear glasses?	¿Tom usa lentes?
Why isn't it working?	¿Por que no funciona?
I bought a good camera.	Me compre una buena camara.
I can't believe that you wouldn't enjoy playing cards with me and my friends.	No puedo creer que no la hayas pasado bien jugando cartas conmigo y mis amigos.
Is this the first time for you to have Japanese food?	¿Es la primera vez que tomas comida japonesa?
What's that in your hands?	¿Que tienes en las manos?
I usually get up at six.	Yo normalmente me levanto a las seis.
Where's the cat?	¿Donde esta el gato?
I can't stand him.	No le trago.
Tom watched them carefully.	Tom los observo cuidadosamente.
Tom must be proud of himself.	Tom debe estar orgulloso de si mismo.
I'm older than you.	Soy mayor que tu.
Tom is always very nice.	Tomas siempre es muy agradable.
Tom locked the door after he entered his apartment.	Tom le puso llave a la puerta despues de entrar a su departamento.
I like writing.	Me gusta la escritura.
I require advice.	Necesito que me aconsejen.
Tom didn't expect Mary to show up on time.	Tom no esperaba que Mary apareciera a tiempo.
That is why he got angry.	Por eso se enfado.
Dad is a hard worker.	Papa es un hombre que trabaja duro.
My friend only eats organic food.	Mi amigo solo come comida organica.
I should've thought of this before.	Deberia haber pensado antes en ello.
We danced all night long.	Bailamos toda la noche.
Five miles is a long distance to walk.	8 kilometros es mucho para caminarlo.
The fact that it's expensive doesn't mean that it's any good.	El hecho de que sea caro no significa que sea bueno.
I'm sorry, my boss is sleeping right now. Please come back tomorrow.	Lo lamento, en este momento mi jefe esta durmiendo. Por favor, vuelva manana.
Tom sleeps with his window open, no matter how cold it is.	Tom duerme con su ventana abierta, sin importarle el frio que haga.
Do you like school?	¿Te gusta la escuela?
I finally found a use for this old thing.	Finalmente le halle un uso a este vejestorio.
I saw somebody steal the merchandise.	Vi a alguien robar la mercancia.
It's up to you to decide whether we'll go there or not.	Depende de ti decidir si vamos alli o no.
I sold the car.	Vendi el auto.
I wonder whether Tom could help us.	Me pregunto si Tom pudiera ayudarnos.
The day after tomorrow is Tom's birthday.	Pasado manana es el cumpleanos de Tom.
Don't treat me like a child.	No me trates como si fuera un nino.
Does Tom have what it takes?	¿Tom tiene lo que hace falta?
It's not going to rain tonight.	No va a llover esta noche.
I was just here yesterday.	Estuve aqui apenas ayer.
He didn't say in which year he was born.	El no dijo en que ano nacio.
This is the end.	Este es el fin.
He banged his head.	Se pego en la cabeza.
Tom opened his mouth.	Tom abrio la boca.
I went to the zoo.	Fui al zoo.
He's your typical workaholic.	Es el tipico adicto al trabajo.
You're a philosopher, aren't you?	Usted es filosofo, ¿verdad?
Money isn't everything, but if you have no money, you can't do anything.	El dinero no lo es todo, pero si no tienes dinero no puedes hacer nada.
I'm not a violent person.	No soy una persona violenta.
Tom knows how much Mary loves him.	Tom sabe cuanto lo ama Maria.
Is this enough money?	¿Es esto suficiente dinero?
Take whichever of these you want.	Toma el que quieras de cualquiera de estos.
We know.	Lo sabemos.
Did you vote yet?	¿Ya has votado?
Tom gets drunk almost every evening.	Tom se emborracha casi todas las noches.
We can't go home yet.	Aun no podemos volver a casa.
I want to make sure you're safe.	Quiero asegurarme de que estes a salvo.
Do you like to listen to classical music?	¿Te gusta escuchar musica clasica?
Do you know anything about training dogs?	¿Sabes algo sobre como entrenar perros?
Is your trunk locked?	¿Tienes el maletero cerrado?
It's not as easy as you think.	No es tan facil como piensas.
Come with us.	Ven con nosotras.
Tom is three years older than Mary is.	Tom es tres anos mayor que Mary.
We must hurry or else the shop will be closed.	Tenemos que darnos prisa no sea que cierren la tienda.
Is Tom big?	¿Es grande Tom?
He is lying.	El esta mintiendo.
She felt happy to see him.	Ella se alegro de verlo.
What has become of the book I put here yesterday?	¿Que le paso al libro que deje aqui ayer?
The boy acknowledged having lied.	El chico reconocio haber mentido.
Bok choy is a vegetable used in Chinese cooking.	El Bok Choy es una verdura usada en la cocina china.
No one believed what you said.	Nadie creyo lo que dijiste.
I don't go to school on Sunday.	No voy a la escuela en domingo.
For more information, get in touch with us.	Para mas informacion, pongase en contacto con nosotros.
You shouldn't have said that.	No deberias haberlo dicho.
I wonder whether or not Tom has already left.	¿Tom se habra marchado ya?
The boy is wearing glasses.	El chico lleva gafas.
She doesn't have many friends in this town.	Ella no tiene amigos en esta ciudad.
I'm taking a bath.	Me voy a dar un bano.
The trip was really fun.	El viaje fue verdaderamente divertido.
He held her tightly.	El la sostuvo firmemente.
The room is at the end of the hall.	La habitacion esta al final del salon.
The same thing applies to me.	La misma cosa aplica para mi.
Is eating healthy more costly?	¿Es mas caro comer saludable?
The world economy will not recover anytime soon.	La economia mundial no se recuperara en poco tiempo.
I can understand your point of view.	Entiendo tu punto de vista.
Are you afraid of me?	¿Me tienes miedo?
I cannot read without glasses.	Sin gafas no puedo leer.
I want to study with the same French teacher that Tom is studying with.	Quiero estudiar con el mismo profesor de frances con el que Tom esta estudiando.
This is the official website.	Este es el sitio oficial.
Tom went to Japan to study Japanese.	Tom fue a Japon a estudiar japones.
The royal wedding was a magnificent occasion.	La boda real fue un evento magnifico.
A ceasefire was declared.	Se declaro un alto al fuego.
The ring was nowhere to be found.	El anillo no aparecia en ninguna parte.
You desperately need a vacation.	Necesitas urgentemente unas vacaciones.
He didn't do any work.	El no hizo ningun trabajo.
Is this data accurate?	¿Son ciertos estos datos?
Tom is strong.	Tom es fuerte.
Nobody saw Tom do it.	Nadie vio a Tom haciendolo.
He dozed off.	Se quedo dormido.
I prefer going on foot to going by bus.	Prefiero ir a pie que ir en autobus.
She gave me a pretty doll.	Ella me dio una bonita muneca.
I got a long letter from my folks.	Recibi una larga carta de mis padres.
How do you do this?	¿Como lo haceis?
Do you drink wine?	¿Ustedes beben vino?
I walked around in the field.	Di vueltas por el campo.
They live two flights up.	Viven dos pisos mas arriba.
There are no people who don't desire peace.	No hay nadie que no desee la paz.
Do you believe in ghosts?	¿Cree usted en los fantasmas?
I have a right to make a living.	Tengo derecho a ganarme la vida.
The ship set sail.	La nave zarpo.
Tom gave Mary some flowers he'd picked.	Tom le regalo a Mary unas flores que habia recogido.
She served me coffee.	Ella me sirvio cafe.
Why is it so hot?	¿Por que hace tanto calor?
Let's not talk about your job tonight.	Mejor no hablemos de trabajo esta noche.
Tom is happy again.	Tom es feliz otra vez.
It would've been better if we hadn't done that.	Hubiese sido mejor si no hubiesemos hecho eso.
I didn't see you at the party the other night.	No te vi en la fiesta la otra noche.
I don't want to have to listen to Tom sing that song again.	No quiero tener que escuchar a Tom cantando esa cancion otra vez.
My film has run out.	Se me acabo el rollo.
There's a problem with the air conditioner.	Hay un problema con el aire acondicionado.
He played an important role on the committee.	El jugaba un rol importante en el comite.
Strange to say, I dreamed the same dream twice last night.	Aunque suene extrano, anoche tuve el mismo sueno dos veces.
Can you explain it to me?	¿Me lo podrias explicar?
I cannot pray now.	No puedo rezar ahora.
Prices are higher here than in Australia.	Los precios son mas altos aqui que en Australia.
Tom is with his friends.	Tom esta con sus amigos.
Do you think money will buy her happiness?	¿Crees que el dinero comprara su felicidad?
They won the lottery.	Ellos se ganaron la loteria.
Tom shut himself up in his bedroom.	Tom se encerro en su cuarto.
Do you want to see?	¿Queres ver?
I was there once.	Estuve alla una vez.
I wanted to be there.	Yo queria estar ahi.
I'm free.	Yo soy libre.
He made the children laugh.	Hizo reir a los ninos.
I think I have a fever.	Creo que tengo fiebre.
What do you intend to do?	¿Que tiene pensado hacer?
Tom was reading a letter written in French.	Tom estaba leyendo una carta escrita en frances.
I'd just like to give you a little history about our project.	Solo quisiera contarte una pequena historia acerca de nuestro proyecto.
Tom and Mary have never been close friends.	Tom y Maria nunca fueron amigos cercanos.
Don't speak French to me.	No me hables en frances.
Tom changed clothes.	Tom se cambio de ropa.
Tom does impersonations of famous people.	Tom hace imitaciones de famosos.
Would you tell me the time, please?	Por favor, ¿puede decirme que hora es?
Tom is sleeping, isn't he?	Tom esta durmiendo, ¿no?
He handed me the letter and left.	Me entrego la nota y se fue.
He needs something to drink.	Necesita algo de beber.
He wrote this novel at twenty.	El escribio esta novela a los 20 anos.
It really depends on when.	Todo depende de cuando.
Why does the US government let people have guns?	¿Por que el gobierno de Estados Unidos deja que la gente tenga armas?
We arrived first.	Llegamos primero.
What's your favorite free iPad app?	¿Cual es tu aplicacion gratuita para iPad favorita?
Tom forgot to lock the front door.	Tom olvido ponerle llave a la puerta del frente.
She was envious of her cousin's success.	Ella envidiaba el exito de su primo.
Tom might have cancer.	Tom posiblemente tenga cancer.
Tom didn't believe what Mary told him.	Tom no creyo lo que Mary le conto.
Tom knows those rules.	Tom conoce esas reglas.
Is he Malaysian?	¿Es el malayo?
I can't believe Tom remembers me.	No puedo creer que Tom se acuerde de mi.
She's the closest thing to family he has.	Ella es lo mas cercano que tiene a una familia.
I don't know what I want.	No se que quiero.
I haven't eaten for days.	No he comido durante dias.
I'll join you later.	Me reunire con ustedes mas tarde.
Tom is happy when he is with Mary.	Tom es feliz cuando esta con Mary.
Tom said that you wanted to see me.	Tom dijo que querias verme.
Who's the woman with the red hat?	¿Quien es la senora del sombrero rojo?
I'm good at playing the piano.	Soy bueno tocando el piano.
You have twice dared to contradict me in front of the commissioner.	Usted se atrevio a contradecirme dos veces ante el Comisario.
We need an ambulance.	Necesitamos una ambulancia.
Do you have a moment?	¿Teneis un minuto?
That dress matches her red hair.	Ese vestido combina con su cabello pelirrojo.
Is she healthy?	¿Esta sano?
He slipped on the ice.	El se resbalo en el hielo.
Tom asked me if I was sleepy.	Tom me pregunto si tenia sueno.
You should always wear a seat belt when you are riding in a car.	Deberias llevar siempre puesto el cinturon de seguridad cuando vas en el coche.
Please do something.	Por favor, haga algo.
My washing machine broke.	Mi lavarropas se rompio.
Tom asked Mary for something hot to drink.	Tom le pidio a Mary algo caliente para beber.
He will be very busy next month.	El estara muy ocupado el mes que viene.
This car is as good as new.	Este coche el igual que uno nuevo.
I haven't been able to get enough sleep lately.	Ultimamente no he podido dormir lo suficiente.
Has Tom been doing his chores?	¿Ha estado Tom haciendo sus labores?
I'm feeling a little blue today.	Me siento un poco triste hoy.
I know you're hiding something.	Se que estas ocultando algo.
I was born on the 22 of November 1948.	Naci el 22 de noviembre de 1948.
Tom has much more experience than Mary does.	Tom tiene mucha mas experiencia que Mary.
I don't want to wait so long.	No quiero esperar tanto.
Tom was sick, so he couldn't come.	Tom estaba enfermo, asi que no pudo venir.
I didn't cheat.	No hice trampas.
Why do you want to know that?	¿Por que quieres saber eso?
Keep the secret.	Guarda el secreto.
Believe it or not, that is true.	Lo creas o no, eso es verdad.
I used to swim here every day.	Solia nadar aqui todos los dias.
Tom is good at handball.	A Tomas se le da bien el balonmano.
In the United States, a census takes place every ten years.	En los Estados Unidos tiene lugar cada diez anos un censo.
I don't like my job.	No me gusta mi trabajo.
She approved of my plan.	Ella aprobo mi plan.
Please bring me two pieces of chalk.	Por favor traigame dos tizas.
Why does she look so sad?	¿Por que ella se ve tan triste?
Let's meet again soon.	Veamonos de nuevo pronto.
He prided himself on his self control.	El estaba orgulloso de su propio auto-control.
The Panama Canal connects the Atlantic with the Pacific.	El Canal de Panama conecta el Atlantico con el Pacifico.
I bought it for you.	Lo compre para ti.
Making cheese is an art.	La produccion de quesos es un arte.
Tom should have married Mary.	Tom deberia haberse casado con Mary.
What do you want?	¿Que quieren?
She asked me for an unreasonable sum of money.	Ella me pidio una inaceptable suma de dinero.
Tom, Mary and John were playing tag on the playground.	Tom, Mary y John estaban jugando al corre que te pillo en el parque.
We want everybody to have a good Christmas.	Queremos que todo el mundo tenga una feliz Navidad.
I don't know if I should tell him.	No se si deberia decirselo.
Have another cup.	Sirvanse otra copa.
Do you want to wait?	¿Queres esperar?
That's good.	Eso esta bien.
He went home while it was still light.	El volvio a casa habiendo luz todavia.
Tom has found Mary.	Tom ha encontrado a Mary.
I want more information.	Quiero mas informacion.
I bought an umbrella.	Compre un paraguas.
I visited my friend Tom yesterday.	Ayer visite a mi amigo Tom.
Tom has helped me a lot.	Tom me ayudo mucho.
We all have missed you.	Todos te hemos echado de menos.
I don't think she'll be happy living with her mother-in-law.	No creo que sea muy feliz viviendo con su suegra.
He was framed on a murder charge.	Fue acusado falsamente de asesinato.
I give my pledge that I will quit smoking.	Te doy mi palabra de que dejare de fumar.
I have been busy.	He estado ocupado.
No one loves war.	A nadie le gusta la guerra.
Tom is wearing the sunglasses he bought yesterday.	Tom lleva puestas las gafas de sol que se compro ayer.
He tried to solve the problem.	Intento resolver el problema.
Tom collected stamps.	Tom coleccionaba sellos.
You drive too fast.	Manejas demasiado rapido.
Which one will you choose?	¿Cual escogeras?
They went ahead of all the others.	Adelantaron a todos los demas.
What are you crunching on?	¿Que estas mascando?
The 7th day of the week is Saturday.	El septimo dia de la semana es el sabado.
I'm looking for a place to sleep.	Busco un sitio para dormir.
Buying a house has stopped being a good investment.	Comprar un piso ha dejado de ser una buena inversion.
They're talking.	Estan charlando.
I'll be OK.	Estare bien.
He went into the bank in the disguise of a guard.	El entro en el banco disfrazado de guardia.
I wish my girlfriend would spend more time with me.	Ojala mi novia pasara mas tiempo conmigo.
I beat you fair and square.	Te venci sin artimanas.
I knew something wasn't right.	Sabia que algo no iba bien.
Tom fell off of his motorcycle.	Tom se cayo de su moto.
I'm so excited.	Estoy tan emocionado.
No one knows what's really going on.	Nadie sabe que esta pasando en verdad.
There are many red flowers in the garden.	Hay muchas flores rojas en el jardin.
She trusts him.	Ella confia en el.
That's how we want it written.	Asi es como deseamos que se escriba.
He told me he would go to Venice.	El me dijo que iria a Venecia.
A dog that barks all the time doesn't make a good watch dog.	Un perro que esta siempre ladrando no es un buen perro guardian.
Women are beautiful.	Las mujeres son bellas.
The doctor might have said that.	Puede que el doctor haya dicho eso.
Tom didn't kill Mary.	Tom no mato a Mary.
You talk too much.	Hablais demasiado.
This clock is electric.	Este reloj es electrico.
No one I know likes Tom anymore.	Ya a nadie que conozca le agrada Tom.
Stop being so naive.	Deja de ser tan ingenuo.
He turned Christian.	Se convirtio al cristianismo.
Speaking English is very difficult for me.	Hablar ingles es muy dificil para mi.
We had to wait until she found a chair and sat down.	Tuvimos que esperar hasta que ella encontro una silla y se sento.
Let's get the party going.	Sigamos con la fiesta.
His death was partly my fault.	Su muerte fue en parte mi culpa.
The driver ignored the stoplight.	El conductor ignoro el semaforo.
Draw a small circle.	Traza un pequeno circulo.
Lower your voice.	Baja la voz.
Please stop singing that song.	Deja de cantar esa cancion, por favor.
She encouraged him to write a novel.	Ella le animo a escribir una novela.
Just look at me.	Mirame.
If you push the button, the door will open.	Si oprimes el boton, la puerta se abrira.
Are you an idiot or what?	¿Eres idiota o que?
The problem is hers.	El problema es suyo.
Tom asked Mary to behave herself.	Tom pidio a Mary que se comportase.
I've had a horrible day.	He tenido un dia horrible.
Come up here.	Ven aqui arriba.
Could you tell me which way I should go?	¿Podria decirme que camino debo seguir?
What do you want then?	¿Que quieres entonces?
I'm 18 years old.	Tengo dieciocho anos.
I'll give it back.	Lo devolvere.
As of tomorrow, this e-mail address will be invalid.	A partir de manana, esta direccion de correo electronico sera invalida.
My father often goes fishing in the river nearby.	Mi papa va a menudo a pescar al rio cercano.
Tom heard that Mary was very rich.	Tom oyo que Mary era muy rica.
You're not doing your share.	No estas haciendo tu parte.
I don't drink beer anymore.	He dejado de beber cerveza.
He is writing a book.	Esta escribiendo un libro.
He could ski well when he was young.	El esquiaba bien cuando era joven.
Air is invisible.	El aire es invisible.
You and Tom used to go fishing together, didn't you?	Tom y vos solian ir a pescar juntos, ¿no?
Do you believe him?	¿Le crees?
Tom never could hide a secret from Mary.	Tom nunca pudo ocultar un secreto a Mary.
If you didn't have him to exchange letters with, you would be lonely.	Si no te escribieses con el, estarias solo.
Hold still.	Mantente quieto.
Give me a little more time.	Dame un poco mas de tiempo.
Leave the room as it is.	Deja el cuarto como esta.
I want to get married.	Me quiero casar.
Is there no alternative to your method?	¿No hay ninguna alternativa al metodo tuyo?
We must obey the rules.	Debemos acatar las normas.
I have never been to Kyushu.	Nunca he estado en Kyushu.
I want Tom fired.	Quiero que despidan a Tom.
He stayed in bed because he wasn't feeling well.	Se quedo en la cama porque no se sentia bien.
Have you ever been to the United States?	¿Ha estado alguna vez en Estados Unidos?
I know all that.	Yo se todo eso.
The bridge is under construction.	El puente esta en construccion.
We're finally free.	Al fin estamos libres.
Do you study English?	¿Estudias ingles?
Why do you want stamps?	¿Por que quieres sellos?
He works on the farm from sunrise to sunset.	El trabaja en la granja desde la manana a la noche.
Tom needed Mary.	Tom necesitaba a Mary.
Don't risk your life for me.	No arriesgues tu vida por mi.
I think he ate about 10 oysters.	Creo que el se comio unas 10 ostras.
Tom's shoes are too big for him.	Los zapatos de Tom le estan demasiado grandes.
Attack is the best form of defense.	La mejor defensa es un buen ataque.
He severely criticized the mayor.	El critico severamente al edil.
How did you learn how to play the violin?	¿Como aprendiste a tocar el violin?
It is traditional to wear black to a funeral.	Es la tradicion vestirse de negro para un funeral.
I looked after the rabbits when I was at school.	Me ocupaba de los conejos cuando estaba en el colegio.
You're either with us or against us.	O estas con nosotros o contra nosotros.
He asked me to read 5 poems.	Me pidio que leyera 5 poemas.
We're newlyweds.	Estamos recien casados.
He goes to the office by car.	El va a la oficina en auto.
He feels very happy.	El se siente muy feliz.
Tom is anorexic.	Tom es anorexico.
Tom ate all the food I had stashed.	Tom comio toda la comida que yo habia guardado.
Sega used to make video game consoles a long time ago.	Sega solia fabricar consolas de videojuego hace mucho tiempo.
If you abuse your computer, it won't work well.	Si maltratas a tu ordenador, no funcionara bien.
They are all college students.	Todos ellos son universitarios.
Mary's not pretty, but she isn't ugly, either.	Mary no es linda, pero no es fea tampoco.
Are you at home?	¿Estais en casa?
Is it made of wood or metal?	¿Esto esta hecho de madera o de metal?
I need a pair of new shoes.	Necesito un par de zapatos nuevos.
Where do you usually buy clothes?	¿Donde sueles comprar la ropa?
That's what happened the last time.	Eso es lo que sucedio la ultima vez.
My work keeps me busy.	Mi trabajo me mantiene ocupada.
Tom came back to Boston last year.	Tom volvio a Boston el ano pasado.
They're typical youngsters.	Tipicos adolescentes.
Is it true that you brought your dog to the office?	¿Es cierto que trajiste a tu perro a la oficina?
This is nice.	Esto esta bien.
Only God knows.	Solo Dios sabe.
I want to learn to sound more like a native speaker.	Quiero aprender a sonar mas como un nativo.
Cut it out!	¡Ya parale!
Can I have one of these?	¿Puedo tener uno de estos?
This school was founded in 1650.	Este colegio fue fundado en 1650.
I don't think I've made enough spaghetti for everyone.	No creo que haya hecho suficiente espagueti para todos.
Can you program in C?	¿Sabes programar en C?
There's an orange on the table.	Hay una naranja sobre la mesa.
The boy splashed about in the tub.	El chico chapoteaba en la banera.
Tom is particular about what he wears.	Tom es muy particular con respecto a la ropa que lleva.
Someone wants to play games.	Alguien quiere jugar juegos.
The patient is out of danger now.	El paciente esta ahora fuera de peligro.
He snored all night and his wife couldn't sleep.	Ronco durante toda la noche y su esposa no pudo dormir.
I'm not a very good singer.	No soy muy buen cantante.
Can you recommend a good dictionary?	¿Puedes recomendarme un buen diccionario?
It looks like a duck.	Se parece a un pato.
Open the door and let in the dog.	Abra la puerta y deje entrar al perro.
The police wanted to avoid bloodshed.	La policia trato de evitar el derramamiento de sangre.
You are a teacher.	Tu eres un profesor.
I don’t believe that black cats cause bad luck.	No creo que los gatos negros den mala suerte.
I wish I had as much money as you.	Desearia tener tanto dinero como tu.
This and that are two different stories.	Esta y esa son dos historias diferentes.
These apples taste good.	Estas manzanas saben bien.
I thought you had an agreement with Tom.	Creia que tenias un acuerdo con Tom.
I wonder if this is love.	No se si es amor.
Tom is thrilled.	Tom esta emocionado.
Your office is nicer than mine.	Tu oficina es mas bonita que la mia.
Tom has lots of things to tell Mary.	Tom tiene muchas cosas que decirle a Mary.
Who goes there?	¿Quien va alli?
Who killed Tom?	¿Quien mato a Tom?
The dog is theirs.	El perro es suyo.
Those trains run every three minutes.	Esos trenes parten cada tres minutos.
He who fights may lose, but he who doesn't has already lost.	El que lucha puede perder, el que no lucha ya perdio.
We have very little time, so listen carefully.	¡Tenemos muy poco tiempo, asi que escuchame bien!
I want to hear you play the piano.	Quiero oirte tocar piano.
They're unreliable.	Ellos son de poca confianza.
There's no danger.	No hay peligro.
She killed herself at the age of thirty.	Se suicido a los treinta anos.
Illness kept me from attending the meeting.	La enfermedad no me permitio asistir a la reunion.
It was a victory for the whole country when he finished first in the race.	Cuando el termino la carrera en primer lugar, fue una victoria para el pais entero.
Find Tom.	Encuentrelo a Tomas.
Do you like to study?	¿Te gusta estudiar?
I don't know who my mother is.	No se quien es mi madre.
He explained why the experiment failed.	El explico por que el experimento fracaso.
I didn't want to know.	No queria saber.
Croatia is located in the southeastern part of Europe.	Croacia es un pais situado en el sudeste de Europa.
Fill it up, please.	Llenalo, por favor.
I think you're perfect.	Yo creo que eres perfecto.
When I opened the curtains, it was snowing.	Cuando abri las cortinas, estaba nevando.
Tom is polite and sensitive.	Tom es educado y sensible.
He eats lunch at a cafeteria.	El come su almuerzo en una cafeteria.
You just missed it.	Acabas de fallar.
She talked him into buying a new house.	Ella lo convencio de comprar una casa nueva.
She will have a baby next month.	Ella va a tener un hijo el mes que viene.
She is taller than her sister.	Ella es mas alta que su hermana.
Fishing is fun.	Pescar es divertido.
I've only seen it once.	Solo le he visto una vez.
You should remember that.	Debes recordar eso.
I saw the film and found it interesting.	Vi la pelicula y la encontre interesante.
You should exercise.	Deberias hacer ejercicio.
Tom doesn't seem to be a Canadian.	Tom no parece ser canadiense.
I like fruit.	Me gusta la fruta.
Why do you want me to leave?	¿Por que quieres que me vaya?
We need some tools.	Necesitamos algunas herramientas.
I noticed she was wearing a new hat.	Me di cuenta de que ella llevaba un sombrero nuevo.
I'll see you again this afternoon.	Te vere de nuevo esta tarde.
You can't help them.	No puedes ayudarles.
Do you know Tom well?	¿Conoces bien a Tom?
It's your favorite song.	Es tu cancion favorita.
Please call me at seven tomorrow morning.	Por favor, llamame manana en la manana a las siete.
Fortunately, I was on time.	Afortunadamente, llegue a tiempo.
No one lives here anymore.	Ya nadie vive aqui.
You must be back by 10 o'clock.	Debes volver antes de las diez.
How many flowers did you buy?	¿Cuantas flores compro usted?
I already told Tom everything I know.	Ya le dije a Tom todo lo que se.
Try to be there on Monday.	Intenta estar alli el lunes.
Are you really too busy?	¿Realmente estas muy ocupado?
Tom has psychological problems.	Tom tiene problemas psicologicos.
I often played baseball when I was young.	A menudo jugaba al beisbol cuando era joven.
My door is always open.	Mi puerta siempre esta abierta.
Time is running out.	El tiempo se esta agotando.
Tom isn't an angel.	Tom no es un angel.
The dog was digging a hole.	El perro estaba cavando un pozo.
The three of you are under arrest.	Ustedes tres estan bajo arresto.
About this time tomorrow, we will be in London.	Manana por esta hora estaremos en Londres.
I'll be fine.	Estare bien.
Does anyone want some more pie?	¿Alguien quiere un poco mas de torta?
You had better do what they say.	Sera mejor que hagas lo que dicen.
I've been told that he's a very competent person.	Me han dicho que es una persona muy capaz.
Look at that boy running.	Mira al muchacho que va corriendo.
Jorge can speak four languages.	Jorge habla cuatro lenguas.
I was worn out because I had to take care of so many children.	Estaba agotado porque tuve que cuidar de muchisimos ninos.
Are you going or staying?	¿Te vas o te quedas?
I forgot I owed you money.	Olvide que te debia dinero.
How much is a meter of this red silk?	¿Cuanto cuesta un metro de esta seda roja?
The buildings are small in comparison with the skyscrapers in New York.	Los edificios son pequenos comparados con los rascacielos de Nueva York.
I love the sound of rain falling.	Adoro el sonido de la lluvia.
Let's go have a chat with Tom.	Tengamos una charla con Tom.
You are just stating the obvious.	Estas simplemente afirmando lo obvio.
This hat cost thirty dollars.	Este sombrero costo treinta dolares.
Is your wife tall?	¿Tu esposa es alta?
Since I will see him tomorrow, I can give him a message if you want.	Ya que lo voy a ver manana, le puedo dar un mensaje si tu quieres.
This is considered to be a matter of great importance.	Esto es considerado un asunto de gran importancia.
Tom drinks too much.	Tom toma mucho.
It's kind of nice here.	Aqui es agradable.
Iceland used to belong to Denmark.	Islandia solia pertenecer a Dinamarca.
He decided to come.	El decidio venir.
These flowers are from our garden.	Estas flores son de nuestro jardin.
Where is your room?	¿Donde esta tu habitacion?
Their meeting was inevitable.	Su encuentro era inevitable.
We didn't get much rain last spring.	No tuvimos mucha lluvia la primavera pasada.
I like studying French.	Me gusta estudiar frances.
Everything he's saying is slander.	Todo lo que dice son calumnias.
What just happened?	¿Que acaba de pasar?
It's nice to be alone.	Da gusto estar solo.
It was so noisy that I couldn't make myself heard.	Habia tanto ruido que no pude hacerme escuchar.
Despite everything, the world is still beautiful.	A pesar de todo, el mundo todavia es bonito.
She arrived when we were about to leave.	Ella llego justo cuando nos ibamos.
The girls were sitting side by side.	Las ninas estaban sentadas una al lado de otra.
Tom isn't married anymore.	Tom ya no esta casado.
Do you know her?	¿La conoceis?
My father seemed to be disappointed I hadn't passed the examination.	Mi padre parecia decepcionado de que yo no hubiese aprobado el examen.
How did you celebrate your birthday?	¿Como has celebrado tu cumpleanos?
Aren't you ready?	¿No estas listo?
I was swimming in the river.	Yo estaba nadando en el rio.
The murderer was executed this morning.	El asesino fue ejecutado esta manana.
Speak louder.	Habla mas fuerte.
Can we lock this door?	¿Podemos ponerle llave a esta puerta?
Tom doesn't know anyone at our school.	Tom no conoce a nadie en nuestro colegio.
We'll never go back there again.	Nunca vamos a volver alli de nuevo.
Tom is the man Mary met the other day.	Tom es a quien Mary encontro el otro dia.
Wait for me there.	Espera alli por mi.
I felt as if I were in a dream.	Me siento como si estuviera en un sueno.
The post office is closed.	La oficina de correos esta cerrada.
The squeaking of the door gets on my nerves.	El chillido de la puerta me saca de quicio.
Only one other president had ever been impeached.	Solo otro presidente habia sido sometido a un proceso de destitucion.
Don't miss this opportunity.	No pierdas esta oportunidad.
He is the tallest person in the world.	El es la persona mas alta del mundo.
That's a very tough job.	Es un trabajo muy dificil.
Don't let anything stand between you and success.	No dejes que nada se interponga entre tu y el exito.
