como qualquer adolescente , so quer que gostem dela e ser aceite .	and like any teenager , she just wants to be liked and to fit in .
o que significa que haveria muito pouca resolucao o que chamamos deteccao no limite , e que alem disso , porque os olhos estavam completamente dilatados sob esta luz , a profundidade de campo , a distancia a que conseguimos focar e ver detalhes , teria sido de menos de 46 centimetros .	which means there would be very little resolution , what we call boundary or edge detection , and that furthermore , because the eyes would have been totally dilated under this light , the depth of field , the distance at which you can focus and see details , would have been less than 18 inches away .
`` tinha todas as qualidades do `` '' foie gras '' '' , mas a sua gordura tinha muita integridade e muita honestidade . ''	it had all the qualities of foie gras , but its fat had a lot of integrity and a lot of honesty .
e entao eles foram e estudaram 10 creches em haifa , israel .	and so they went and studied 10 daycare centers in haifa , israel .
os cirurgioes sao treinados , um passo de cada vez .	surgeons are trained one step at a time .
de facto , temos formas de vida fantasticas que podemos manipular .	in fact , we have such amazing lifeforms that we can manipulate .
portanto , vou-vos dar quatro .	so i 'll give you four .
mas , logo que uns tenis saem do mercado de retalho ,	but once a pair leaves the retail channel , it 's the wild west .
e eu desejava diversas coisas que nao estava a obter , ou nao estava a obter o suficiente .	and i was longing for several things that i was n't getting , or not getting enough of .
quando se perde a visao , a historia muda completamente .	lose your sight , though , and it 's a whole other story .
por outro lado , se acreditam que o restolhar na erva e apenas o vento , e afinal era um predador perigoso , voces servem de almoco .	on the other hand , if you believe that the rustle in the grass is just the wind , and it turns out it 's a dangerous predator , you 're lunch .
isto e claramente injusto e precisa de mudar .	that is manifestly unfair , and should change .
se puder deixar-vos com uma grande ideia hoje , e a de que o total da informacao que nos consumimos e maior do que a soma das partes e , em vez de pensarem em sobrecarga de informacao , gostaria que pensassem sobre como e que podemos usar a informacao para que surjam padroes e para que possamos ver tendencias que de outra forma seriam invisiveis .	if i can leave you with one big idea today , it 's that the whole of the data in which we consume is greater that the sum of the parts , and instead of thinking about information overload , what i 'd like you to think about is how we can use information so that patterns pop and we can see trends that would otherwise be invisible .
um dos elementos importantes e a imagiologia .	of course , one of the important elements is the imaging .
toda a campanha falhou , a malaria voltou a surgir , mas agora ainda era pior do que antes porque estava encurralada nos locais mais dificeis de alcancar nas formas mais dificeis de controlar .	the whole campaign crashed , malaria resurged back , but now it was even worse than before because it was corralled into the hardest-to-reach places in the most difficult-to-control forms .
`` voces estao a dizer a voces mesmos : `` '' sem ti , dispositivo de compromisso , eu nao sou nada , eu nao tenho autodisciplina . '' '' e depois quando voces estiverem numa situacao em que nao possuem um dispositivo de compromisso activo — por exemplo : `` '' oh meu deus , esta pessoa esta a oferecer-me um donut , e eu nao tenho um mecanismo de defesa , '' '' — voces irao simplesmente come-lo . ''	`` you 're just telling yourself , `` '' without you , commitment device , i am nothing , i have no self-discipline . '' '' and then when you 're ever in a situation where you do n't have a commitment device in place — like , `` '' oh my god , that person 's offering me a doughnut , and i have no defense mechanism , '' '' — you just eat it . ''
mas , lamentavelmente , a accao violenta - ainda que qualquer accao seja melhor do que nao fazer nada - mas a accao violenta e o participar na violencia tem o problema de que disfarca a violencia .	unfortunately , violent action — though action is better than no action — but taking part in it only disguises violence .
disc1 e um gene que e eliminado na esquizofrenia .	disc1 is a gene that 's deleted in schizophrenia .
`` quando tony tinha 16 anos , um dia , num momento , `` '' era a arma da minha mae . ''	`` when tony was 16 years old , one day , one moment , `` '' it was mom 's gun . ''
colocamo-nos em perigo .	we are endangering ourselves .
portanto , perguntei a minha operadora , a deutsche telekom , que na altura era a maior operadora de telecomunicacoes na alemanha . e pedi-lhes , por favor , enviem-me toda a informacao que tem guardada sobre mim .	so i asked my phone company , deutsche telekom , which was at that time the largest phone company in germany , and i asked them , please , send me all the information you have stored about me .
mas depois tem de regressar a cidade para testar as amostras num laboratorio central .	but then they would have to drive back into the city to test those samples in their central lab .
obrigada .	thank you .
as pessoas contam-me as suas vidas , as suas memorias , as suas aspiracoes , e eu crio uma paisagem mental .	people tell me their lives , their memories , their aspirations , and i create a mindscape .
podemos decidir interioriza estas mensagens negativas que nos estao a ser atiradas e deixarmo-nos sentir umas fracassadas , e pensar que o sucesso e muito dificil de alcancar , ou podemos decidir ver que a negatividade dos outros e problema deles e transformar essa negatividade na nossa energia pessoal .	you can either decide to internalize these negative messages that are being thrown at you , to let them make you feel like a failure , like success is way too hard to ever achieve , or you can choose to see that others ' negativity is their own issue , and instead transform it into your own personal fuel .
sao locais onde guardamos objetos de grande valor para nos , onde os apreciamos apenas por eles serem o que sao .	they 're places where we keep objects of great value to us , where we simply treasure them for them being themselves .
tem sido apenas recentemente que comeco a perceber que nao aprendi a sentar-me assim por ser indiano .	it 's only recently that i 've started to understand that i did n't learn to sit like this through being indian .
a maioria silenciosa precisa de saber .	the silent majority needs to know .
terceiro , diminuir os gastos per capita de forma continua .	three , decrease per capita expenditure across a continuum .
o que e que deviamos estar a estudar ?	what ought we to be studying ?
`` para criar `` '' lotus '' '' , esculpimos mais de 6000 figuras . ''	`` to create `` '' lotus , '' '' we carved over 6,000 figures . ''
a nossa longevidade aumenta quase um ano por cada ano que passa .	our life longevity is going up almost a year for every year that passes .
a escolha neste caso e bastante simples .	the choice in this case is pretty simple .
penso que as pessoas querem poder ser virtuosas .	i think people want to be allowed to be virtuous .
eu sinto-me optimista quanto a resolucao deste problema .	now , i 'm actually fairly optimistic that this problem can be solved .
este e um parque de esculturas em taejon .	this is in a sculpture park in taejon .
e veremos que os meus dois genomas , ou um deles que queiramos usar , tera por volta de tres milhoes de diferencas , nessa ordem .	and we will find that the two genomes in me , or one genome of mine we want to use , will have about three million differences in the order of that .
`` e isto tambem requer investimento , investimento — como por exemplo , em locais — locais onde nos podemos relacionar , locais onde pudemos participar , espacos partilhados , salas de concerto , jardins , parques publicos , bibliotecas , museus , centros tranquilos , locais de alegria e celebracao , locais de tranquilidade e contemplacao , sitios para a `` '' cultivacao de uma cidadania comum . '' '' segundo uma bela frase de michael sandel . ''	`` and this too requires investment , investment — for example , in places — places where we can connect , places where we can participate , shared spaces , concert halls , gardens , public parks , libraries , museums , quiet centers , places of joy and celebration , places of tranquility and contemplation , sites for the `` '' cultivation of a common citizenship , '' '' in michael sandel 's lovely phrase . ''
como dane atkinson .	like dane atkinson .
talvez , perante a pressao constante , o meu instinto primario de sobrevivencia se tenha conectado com os arcos .	perhaps , in the face of constant pressure , my caveman instinct of survival has connected with the bows .
o mark vai-me dar uma boleia de volta ao hotel .	mark 's going to give me a ride back to the hotel .
e a ideia de inovacao sem autorizacao .	it 's the idea of permission-less innovation .
nao podemos viver com ele , mas tambem nao podemos viver sem ele .	we ca n't live with it ; we ca n't live without it .
por vezes , e quase assustador .	sometimes , it 's almost creepy .
mas notei tambem que , as vezes , a musica que havia escrito , ou estava a escrever na epoca , nao soava muito bem nalguns daqueles sitios .	but i also noticed that sometimes the music that i had written , or was writing at the time , did n't sound all that great in some of those halls .
muito obrigado .	thank you very much .
o que descobrimos e que estas divisoes permaneciam relativamente estagnadas ate sabado , quando abriamos novamente os respiradouros .	what we found is that these rooms remained relatively stagnant until saturday , when we opened the vents up again .
eu nasci em 1971 .	i was born in 1971 .
testei-as .	and i tested them .
onde quer que eu fosse , sentia-me em casa .	everywhere i went , i felt at home .
a musica era diferente em alguns aspectos , mas na estrutura e na forma , basicamente a mesma .	the music was in some ways different , but in structure and form , very much the same .
se o mudarem de sitio , ele acaba no local errado .	if you displace it , it ends up in the wrong place .
existem numa variedade desconcertante de diferentes tipos .	they come in a bewildering variety of different kinds .
cria um contraste que consegue ver .	it 's creating contrast that they can indeed see .
no ano passado , um dos nossos parceiros , o colegio americano de cirurgioes , uniu-se a nos para anunciar que todos os cirurgioes devem ter uma certificacao fls ( fundamentos de cirurgia laparoscopica ) antes de fazerem cirurgias minimamente invasivas .	now just this past year , one of our partners , the american college of surgeons , teamed up with us to make an announcement that all surgeons should be fls ( fundamentals of laparoscopic surgery ) -certified before they do minimally invasive surgery .
mas em vez disso , levamos uma camara as profundezas do oceano , e vemos um peixe que nao cativa a nossa imaginacao como sociedade .	but instead , we stick a camera in the deep ocean , and we see a fish , and it does n't capture our imagination as a society .
isto nao e feito com o photoshop .	this is n't photoshopped .
claro que , tendo novos olhos , ate as paisagens antigas , ou o nosso lar se tornam algo diferente .	and of course , once you have new eyes , even the old sights , even your home become something different .
( risos ) tambem nas vendas , os rendimentos mais baixos eram dos vendedores mais generosos .	( laughter ) and then in sales , too , the lowest revenue accrued in the most generous salespeople .
( aplausos )	( applause )
queremos sensores , potencia , controlo , tudo acionado em conjunto . nem tudo tem que ser inspirado na biologia .	we want sensing , power , control , actuation all together , and not everything needs to be bio-inspired .
um programa curricular mesmo rapido .	really quick syllabus .
`` vai fazer quatro anos , e toda a gente sabe que quando se tem quatro anos adoramos perguntar : `` '' porque ? '' '' sim . porque . ''	`` she 's going to be four years old , and anyone who knows a four-year-old knows that they love to ask , `` '' why ? '' '' yeah . why . ''
o afeganistao e um dos paises mais pobres do mundo , e 70 % da populacao e analfabeta .	afghanistan is one of the poorest countries in the world , and 70 percent of the people are illiterate .
errado , outra vez . ja la vao seis anos e meio desde a introducao destes custos em estocolmo , e ainda se verificam os mesmos baixos niveis de transito .	wrong again . it 's now six and a half years ago since the congestion charges were introduced in stockholm , and we basically have the same low traffic levels still .
para encerrar esta parte , numa sintese , queria dizer uma coisa um pouco controversa .	to close this part and sum up , i 'd like to talk about something a little different .
mas deu-me uma chavena de cha .	but he gave me a cup of tea .
ca : este interior e desenhado pelo philippe starck ?	ca : so this interior is philippe starcke designed ?
hoje , passados 25 , 30 anos falamos de uma taxa de mortalidade que diminuiu em 85 % .	today , some 25 , 30 years later , we 're talking about a mortality rate that 's reduced by 85 percent .
o que e que quero dizer com isso ?	what do i mean by that ?
e como sao os criminosos informaticos de hoje ?	today 's cybercriminal , what do they look like ?
mas as linhas que transportam informacao significativa sao normalmente muito curtas . tem entre poucas dezenas e varios milhares de letras .	but the lines that carry meaningful information are usually very short — a few dozen to several thousand letters long .
ruminar significa remoer .	to ruminate means to chew over .
a verdade nunca e binaria . a verdade e um valor .	truth is never binary . truth is a value .
mas voces tambem precisam de fornecer provas uteis de que sao dignos de confianca .	but you also have to provide usable evidence that you are trustworthy .
agora , podemos realmente miniaturizar laboratorios biologicos e quimicos em chips de microfluidos .	so , right now , we can actually miniaturize biological and chemistry laboratories onto microfluidic chips .
dois anos mais tarde , a fome atingiu o meu pais pela segunda vez .	two years later , famine hit my country for the second time .
talvez haja mais pessoas do meu povo la fora .	maybe there are more of my people out there .
assim , ninguem estava a economizar energia . e o que aconteceu ?	so no one was saving energy , and what happened ?
algo que podem fazer com uma imagem destas e simplesmente admira-la .	one thing you can do with a picture like this is simply admire it .
isso significa que ha um constante , enorme volume de dados a passar .	and what that means is just constant , huge volumes of data going up .
muitos sao os que procuram .	many seek .
este e o fenomeno mais conhecido do mundo quantico , o efeito tunel .	this is one of the best-known phenomena in the quantum world , quantum tunneling .
todas estas areas verdes , sao os ambientes ricos em alvos .	so all of the green areas , these are your target-rich environments .
onde pensam que vai haver mais acao ?	where do you think the action is going to be ?
e ha tecido muscular normal por cima dele . veem ?	there 's actually normal muscle on top of it . see that ?
mas , antes de podermos fazer vida , vamos pensar por um segundo sobre o que realmente caracteriza a vida .	but before we can make life , let 's think for a second what life really is characterized by .
e por isso , foi uma experiencia incrivelmente forte .	and so it was just an incredibly powerful experience .
quando eu era uma crianca , eu adorava construir coisas , e criar maquinas complicadas .	when i was a child , i loved to build stuff , to create complicated machines .
o verdadeiro potencial , o potencial a longo prazo , reside nesta comunidade «faca voce mesmo» de exploradores oceanograficos . que se esta a formar a volta do globo .	the real potential , the long term potential , is with this community of diy ocean explorers that are forming all over the globe .
mas , sim , ha 30 anos que escrevo historias sobre abusos de poder , e , quando falo dos poderosos do meio militar ou da industria farmaceutica , toda a gente bate palmas .	but yeah , for 30 years i 've been writing stories about abuses of power , and when i say the powerful people over there in the military , or in the pharmaceutical industry , everybody applauds me .
ele preparou programas antecipando que isto aconteceria .	he prepared programs anticipating this would happen .
por isso , esta nas vossas maos .	so , it really is down to you .
ora bem , os espacos abertos nas cidades sao oportunidades ,	now , open spaces in cities are opportunities .
mas acima de tudo , afeta os pacientes , esses podem ser voces , posso ser eu .	most of all , though , it affects the patients , and that could be you , it could be me .
( risos ) chama-se adam rifkin .	( laughter ) his name is adam rifkin .
provavelmente ha cerca de 15 mil criancas a ser treinadas enquanto falamos .	actually , probably about 15,000 children are being trained as we speak .
sim , quando se reformarem , os falantes de linguas sem futuro , com um rendimento constante vao reformar-se com 25 % mais em poupancas .	yes , by the time they retire , futureless language speakers , holding constant their income , are going to retire with 25 percent more in savings .
por isso , o calculo tem sido ensinado tradicionalmente muito tarde .	so calculus has traditionally been taught very late .
fui-me esconder no meu quarto , escondi-me debaixo dos cobertores , e depois esperei que o meu pai voltasse do trabalho com , pode-se dizer , muita apreensao .	i went to hide in my bedroom , under the blankets , and then i waited for my father to come back from work with , one could say , much apprehension .
o que havemos de fazer quanto a este grande problema das abelhas que criamos ?	what are we going to do about this big bee bummer that we 've created ?
descodifica-se o que se quer ver dobrar , numa sequencia de angulos — entao menos 120 , menos 120 , 0 , 0 , 120 , menos 120 — algo assim ; uma sequencia de angulos , ou curvas , e envia-se essa sequencia ao longo do fio .	you decode what you want to fold up into , into a sequence of angles — so negative 120 , negative 120 , 0 , 0 , 120 , negative 120 — something like that ; so a sequence of angles , or turns , and you send that sequence through the string .
agora , todos deveriam esperar que quando a degradacao do oleo acontece , quando os constituintes sao libertos , eles desaparecem , vao-se , porque foram absorvidos .	now everyone would expect that when the degradation of the oil happens , when the constituents are liberated , they disappear , they go away because they [ were ] absorbed .
o anfitriao levou-o a correr para o hospital .	the host rushed him to the hospital .
a degradacao dos meus olhos quebrou a ilusao .	the deterioration of my eyes shattered the illusion .
entao ha otimismo .	so there 's the optimism .
pensem nisso .	so think about that .
estavam a fazer diarios detalhados dos seus gastos , do seu estado de humor , dos seus sintomas , dos seus tratamentos .	they were making detailed journals of their spending , their mood , their symptoms , their treatments .
e por isso que os civis paquistaneses , mais de 6.000 dos quais foram mortos so nos ultimos dois anos , sao alvos aceitaveis .	that 's why pakistani civilians , over 6,000 of whom have been killed in the last two years alone , are fair game .
ainda assim , adoro imagina-lo .	but still , i love imagining it .
mas tambem ha outras empresas que ja estao a agir .	but also , there are other businesses already acting .
entao eu quero apenas oferecer quatro questoes que todos os pacientes devem perguntar , porque eu nao espero que as pessoas realmente comessem a desenvolver este tipo de relatorios .	so i want to just offer four questions that every patient should ask , because i do n't actually expect people to start developing these lab test reports .
portanto , passo numero tres desta viagem : nos sabemos que , se vamos continuar a progredir vamos ter de aumentar o volume , vamos ter de aumentar a visibilidade , e vamos ter de incluir o publico .	and so , step number three on this journey : we know , if we 're going to keep making this progress , we 're going to have to turn up the volume , we 're going to have to increase the visibility , and we 're going to have to engage the public .
imaginem por um momento que em vez de terem o tim harford a vossa frente era o hans rosling a apresentar os seus graficos .	imagine for a moment that , instead of tim harford in front of you , there was hans rosling presenting his graphs .
entao estao aqui tres pessoas que falam a lingua inglesa .	so here are three speakers of the english language .
o meu sonho pessoal e que as criancas peguem nisto , explorem e vejam as maravilhas que existem , e que se inspirem , como quando fui jovem , a perseguir o ramo cientifico e a perseguir o sonho da exploracao espacial .	and my personal dream is for kids to take this and explore and see the wonders out there and be inspired , as i was as a kid , to pursue stem education and to pursue a dream in space exploration .
esta e a minha primeira dica : recuar para ter uma visao mais ampla .	so that 's my first tip : look broader .
e o resultado de muito prologado e sustentado ativismo politico que nos obtemos os regulamentos certos , e obtemos o comportamento certo das companhias .	it 's the result of very sustained and prolonged political activism that you get the right regulations , and that you get the right corporate behavior .
( aplausos )	( applause )
( aplausos ) agora , o povo levantou preocupacoes reais sobre o que significa o crescimento de partidos islamitas para as mulheres .	( applause ) now people have raised some real concerns about what the rise of islamist parties means for women .
se nao tiverem qualquer dano , entao vao para o supermercado .	if they do n't have any damage , they go to the grocery .
`` ha muitos `` '' sites '' '' onde pessoas comecaram a reunir uma carta magna , uma declaracao de direitos para a `` '' web '' '' . ''	there are lots of sites where people have started to put together a magna carta , a bill of rights for the web .
e este e o sistema de monitorizacao de sono de hoje em dia .	and this is the sleep tracking system of today .
as empresas podem ate dar controlo aos hackers .	companies can even give control to hackers .
eu vou percorrer algumas das fotografias desta serie .	i 'm going to run through some of the photographs in this series .
ele adere , abre caminho por entre as camadas celulares , atraves do poro , surge do outro lado da membrana , e ai , ira envolver a bacteria marcada a verde .	it sticks , it wiggles its way through between the cell layers , through the pore , comes out on the other side of the membrane , and right there , it 's going to engulf the bacteria labeled in green .
( aplausos )	( applause )
o problema da imagem do depois , e que nao tem o modulo .	the only problem with the after image is , there is no lander .
rodemos e olhemos para mim frontalmente .	but let 's swivel around and look at me frontally .
abanamos as coisas e vemos o que acontece .	we shake things and see what happens .
`` de modo que batalhei para sair da minha editora . e no meu projeto seguinte , com a minha nova banda , `` '' the grand theft orchestra '' '' , virei-me para o crowdfunding [ financiamento colaborativo ] . ''	so i fought my way off my label , and for my next project with my new band , the grand theft orchestra , i turned to crowdfunding .
ele era aproximadamente 20 anos mais velho que todos os outros na amostra .	he was 20-some years older than anybody else in the sample .
temos de encontrar o passo certo para bloquear e criar um medicamento que o faca .	we have to find the right step to block , and then create a drug that does it .
nas vossas maos , espero que esteja um pedaco de cartao .	in your hands , you hopefully hold a piece of cardboard .
este pequeno video e da ultima semana .	this short video is from last week .
nao tenho a certeza se devemos ver os jovens como nativos digitais .	i 'm not so sure we should be thinking of young people as digital natives .
e nao estamos apenas a investir nos miudos .	and we 're not just investing in the kids .
nao entendo porque e que isto esta sempre a acontecer .	i do n't understand why this keeps happening .
cidadaos globais , inovadores , lideres empresariais , individuos , precisamos de voces .	global citizens , innovators , business leaders , individuals , we need you .
usando este processo , para cada um dos diferentes grupos , temos agora uma taxa de sucesso de 80 % , na classificacao de 1,5 milhoes de imagens .	and using this kind of process for each of the different groups , we are now up to an 80 percent success rate in classifying the 1.5 million images .
outro dispositivo e a speedstrip .	another device is called speedstrip .
isso apenas nos deu maior determinacao em provar que se podia construir uma historia melhor .	that just gave us more determination to prove that you could build a better story .
a bondade pode soar como uma palavra muito moderada , e esta sujeita ao seu proprio , grande cliche .	`` now `` '' kindness '' '' might sound like a very mild word , and it 's prone to its own abundant cliche . ''
assim , ao projetarem uma cidade para os cegos , espero que comecem a perceber que isso seria , na verdade , mais inclusivo , uma cidade com mais equidade , mais justa para todos ,	so , in designing a city for the blind , i hope you start to realize that it actually would be a more inclusive , a more equitable , a more just city for all .
outras vezes , nao sao sequer historias minhas .	other times , it 's not even my stories .
era uma meta terrivel !	that 's a terrible end !
nao sabemos as respostas , nao sabemos se as vamos encontrar , mas sabemos que o risco e elevado .	we do n't know the answers , we do n't know if we 're going to find them , and we know that the risks are high .
mas primeiro , preciso de vos contar uma historia , que e a minha historia , a historia deste pais onde voces estao hoje .	but first , i need to talk to you about a story , which is my story , about the story of this country that you 're all here in today .
muitos dos meus colegas e cientistas diriam que ja e demasiado tarde para impedir um aquecimento de 2º c .	there are quite a lot of my colleagues and other scientists who would say that it 's now too late to avoid a two-degree warming .
simplesmente , ainda nao tinhamos atingido isso .	we just have n't caught up with the actual realities of this .
e , na realidade , isto resultou muito bem .	well , as it turns out , this worked pretty well .
uma maior distribuicao dos meios de produccao , cadeias de abastecimento que respeitam o ambiente , e um renascer da cultura do faca-voce-mesmo podem transcender a escassez artificial .	a greater distribution of the means of production , environmentally sound supply chains , and a newly relevant diy maker culture can hope to transcend artificial scarcity .
eu gostaria de falar de uma forma de pensar sobre as tendencias tecnologicas a que chamo a minha grande teoria unificada de prever o futuro , mas que e mais como uma pequena teoria unificada de prever o futuro .	`` i 'd like to talk about a way of thinking about technology trends that i call my `` '' grand unified theory of predicting the future , '' '' but it 's closer to a petite unified theory of predicting the future . ''
a africa e um lugar onde as pessoas ainda se sentam sob o ceu estrelado , em torno de fogueiras ao ar livre e contam historias . o que tenho para partilhar hoje e a simples mezinha de algumas historias contadas a fogueira . historias sobre herois de coragem e coracao .	africa is a place where people still sit under starlit skies and around campfires and tell stories , and so what i have to share with you today is the simple medicine of a few campfire stories , stories about heroes of heart .
isto prende-se com o problema fundamental que temos com o desenvolvimento de vacinas para doencas infeciosas .	this goes to the fundamental problem we have with vaccine development for infectious diseases .
`` `` '' porque , na verdade , ela e inocente ; todos o sabem . ''	because she 's blameless ; everybody knows it .
o que isto tem de fantastico e que nao e dificil fazer estas coisas .	what 's also really cool here is it 's not that hard to make these things .
fomos vitimas dos espanhois .	we were victims of the spaniards .
as noticias adoraram .	the news loved it .
e o fundamental e termos uma relacao entre o tempo de conducao e o de paragem , de aproximadamente 6 ou 7 [ horas ] .	and the key thing is to have a ratio of drive to stop , to stop time , of about six or seven .
mas , infelizmente , doencas neurologicas como a doenca de parkinson destroem gradualmente esta capacidade extraordinaria , como esta a acontecer com o meu amigo jan stripling , que era um bailarino virtuoso no seu tempo .	now , sadly , neurological disorders such as parkinson 's disease gradually destroy this extraordinary ability , as it is doing to my friend jan stripling , who was a virtuoso ballet dancer in his time .
( aplausos ) e derrotaram a proposta .	( applause ) and they defeated the proposal .
deveriamos todos olhar para a lua mais vezes . nao o fazemos .	we should all look at the moon a bit more often . we do n't .
limitamo-nos a ler a etiqueta na parte de tras de uma embalagem .	we just read the back of a label on a packet .
a segunda sao estacoes terrestres automatizadas , onde os veiculos descolam e aterram para trocar baterias e voar mais longe , ou receber ou entregar cargas .	the second is automated ground stations that the vehicles fly in and out of to swap batteries and fly farther , or pick up or deliver loads .
e voces ?	are you ?
obrigada .	thank you .
no entanto , para o proposito de proteger a sua privacidade as custas da fiabilidade do gps , existe algo ainda mais potente e mais subversivo do que o wave bubble , que e um imitador de gps .	but as it turns out , for purposes of protecting your privacy at the expense of general gps reliability , there 's something even more potent and more subversive than a wave bubble , and that is a gps spoofer .
e a forma mais dificil , nao e uma coisa banal , mas , neste caso , e a unica forma .	and it 's the hard way , and this is not trivial , but in this case , it 's the only way .
ou cerca de 75 000 empregos .	or about 75,000 jobs .
nao estou a dizer que nao precisamos de hoteis ou das formas de autoridade tradicionais .	i am not saying we do not need hotels or traditional forms of authority .
e tem de por em risco as suas vidas todos os dias para fazer isto .	and they have to risk their lives almost every day to do this .
por que e que , atualmente , todos os caminhoes de lixo na california do sul sao a gas natural ?	why are all the trash trucks today in southern california on natural gas ?
`` vi aquele programa de tv 'lie to me ' ( mente-me ) . sei que estas a mentir . '' '' nao , os apanhadores de mentiras estao armados com conhecimento cientifico sobre como detectar o engano . ''	`` i watch that tv show 'lie to me . ' i know you 're lying . '' '' no , liespotters are armed with scientific knowledge of how to spot deception . ''
o visor e um smartphone que mostra os parametros do sistema	the heads-up display is a smartphone that displays system parameters .
e participaram os reporteres e os produtores .	and they had the reporters and their producers participate .
eles estao a aprender sobre si mesmos	they 're learning who they are .
ja foram construidas 2 cidades na china e estao a preparar a terceira .	they 've actually built two cities already in china and are preparing the third .
para iniciantes , agora vivemos mais anos , e , como tal , envelhecemos mais lentamente .	for starters , we now live longer , and so age more slowly .
quando consegue faze-lo com sucesso , o humano que esta a comanda-lo pode indicar areas de interesse .	and when it does so successfully , the human who is driving it can then point out the areas that are interesting .
nao foi o meu ponto alto de 2012 .	it was n't my highlight of 2012 .
eu quero dizer , realmente a informacao parece ser a nossa maior esperanca	i mean really though , information seems like our best hope .
tambem diziam que o transito era assimetrico , o que significa que , em vez da depressao limpa em u que viamos em jupiter , tinha esta inclinacao estranha que se ve no lado esquerdo .	they were also saying that it looks asymmetric , meaning that instead of the clean , u-shaped dip that we saw with jupiter , it had this strange slope that you can see on the left side .
bom , nada agradavel .	well , nothing pleasant .
`` sistemas de `` '' post-its '' '' nao so sao mais fluidos , mas tambem geram mais nos que desenhos estaticos . ''	so sticky note systems are not only more fluid , they generally produce way more nodes than static drawings .
os doentes ainda estao na mesa do bloco operatorio .	patients are still on the operating room table .
tal como o figado e os rins , fazem a limpeza do ar .	like the liver and the kidneys , as i 've said , cleaning the air .
( risos ) bem , estao errados .	( laughter ) so , you 're wrong .
`` mas depois parei , porque achei `` '' ja sou bom que chegue ''	`` but then i stopped because i figured , `` '' hey , i 'm good enough . ''
e garantido , muitas delas sao mentiras inofensivas .	now granted , many of those are white lies .
e lembro-me de andar pelo corredor do capitolio dos e.u.a. , estava nos meus trintas , e a minha vida tinha um proposito , e eu nao podia imaginar que alguma vez alguem iria desafiar este pedaco de legislacao importante .	and i remember walking through the halls of the u.s. capitol , and i was in my 30s , and my life had purpose , and i could n't imagine that anybody would ever challenge this important piece of legislation .
aquilo foi filmado a partir de um helicoptero utilizando uma camera giro-estabilizada .	that was filmed from a helicopter using a gyro-stabilized camera .
para conseguir isto , precisamos do tipo certo de linguagem .	now , in order to do this , we need the right kind of language .
tendo seguido uma carreira militar e acabando por se tornar num astronauta .	you 're going into the military and eventually to become an astronaut .
isto tem de parar , e eu gostava que essa mudanca pudesse vir das instituicoes do topo , que perpetuam estes problemas , e eu imploro , eu suplico para que elas parem .	this needs to stop , and i wish that the change could come from the institutions at the top that are perpetuating these problems , and i beg them , i beseech them to just stop it .
`` o barulho surgiu : `` '' o que e isto ? o que esta a acontecer ? ''	`` big noise raised up : `` '' what is this ? what is happening ? ''
teria de fazer parte da sua identidade .	it had to be part of their identity .
porque sera que a tensao alta e tao mortal para os negros ?	so why is high blood pressure so differentially deadly for black men ?
contudo , na maior parte das vezes , as pessoas nao pensam numa coisa destas , que e a outra face da moeda .	but people are often not thinking of something like this , which is the other end of the spectrum .
cria um portal para a vossa voz interior se elevar e ser ouvida .	`` it creates a gateway for your inner voice to rise up and be heard . and `` '' god '' '' ? ''
podemos ver como estes dois mundos colidem .	you can see how these two worlds collide .
mas isso esta a comecar a mudar .	this is beginning to change .
a mobilidade nas cidades do mundo em desenvolvimento e um desafio muito peculiar , porque e diferente da saude , ou educacao ou habitacao , tende a tornar-se pior quando as sociedades enriquecem .	mobility in developing world cities is a very peculiar challenge , because different from health or education or housing , it tends to get worse as societies become richer .
bem , recolhendo , histericamente , simbolos de desejabilidade .	well , by hysterically collecting symbols of desirability .
`` e podia-se ouvir aquele pequeno `` '' tique , tique , tique , tique '' '' . ''	and you could hear that little tick , tick , tick , tick .
chamo-me debra brown .	my name is debra brown .
isso acabou por se descontrolar tanto que um jornal local fez uma historia sobre o lado negro da nintendo , em que eu era o protagonista .	eventually it got so out of hand that a local newspaper came and did a story on the dark side of nintendo , starring me .
nao deveriamos deixar ninguem por isso em causa .	we should not let anybody take that away from us .
a maior diferenca entre os seres humanos e todos os outros animais nao esta a nivel individual , mas a nivel coletivo .	the real difference between humans and all other animals is not on the individual level ; it 's on the collective level .
populamos todas as ecologias .	we populated all the ecologies .
sao caros . sao dificeis de visitar .	and they 're expensive to get to . they 're hard to visit .
assim , creio que ha muitas maneiras diferentes para que as pessoas se possam expressar usando isto , e assim partilhar as suas ideias com o mundo .	so i think there 's so many different ways that people can express themselves using this , to be able to take their ideas and share their ideas with the world .
os nervos sao amarelos , as arterias vermelhas , as veias sao azuis .	nerves are yellow , arteries are red , veins are blue .
e usado na tinta para lhe dar textura , mas tambem reflectir a luz .	it 's used in paint for the texture , but also for the glossiness .
estao a ver o que eu estou a fazer aqui ?	do you see what i 'm doing here ?
alteram-nos para serem os personagens que querem ser nessas producoes .	they change them to be the characters they want to be in those productions .
e precisam de um quarto fator , que talvez seja o fator mais importante .	and you need the fourth factor , which perhaps is the most important factor .
`` elas viraram-se para ele e disseram `` '' vamos fazer com que nao seja reeleito '' '' . ''	`` these little girls turned to him and said , `` we will vote you out of office . '' ''
esta e uma das estrategias . usamos uma impressora .	this is actually one of the strategies . we use a printer .
